datetime	tstart	tfinish	type	group	site	treatment	block	temp.C	pres.kPA	PAR	NEE	Rsqd
10.08.2016 12:26	10	70	photo	sun	elev3000	c	1	31,41	69,05		-4,43	0,99
10.08.2016 12:54	10	70	photo	sun	elev3000	c	2	27,61	68,92		-3,06	0,98
10.08.2016 13:54	10	70	photo	sun	elev3000	c	3	23,61	69,01		-3,59	0,97
10.08.2016 15:33	10	60	photo	sun	elev3000	c	5	18,61	68,92		7,6	0,99
10.08.2016 15:51	10	70	photo	sun	elev3000	c	7	18,11	68,92		6,88	1
10.08.2016 17:02	10	80	photo	sun	elev3000	otc	7	17,11	68,92		1,23	0,79
10.08.2016 14:01	1	60	photo	sun	elev3000	otc	3	22,11	68,97		1,54	0,85
10.08.2016 12:17	10	70	photo	sun	elev3000	otc	1	31,61	69,05		-5,13	1
10.08.2016 12:46	10	70	photo	sun	elev3000	otc	2	28,95	69,03		6,45	0,99
10.08.2016 14:16	10	70	photo	sun	elev3000	otc	4	19,06	68,96		2,21	0,93
10.08.2016 15:24	10	70	photo	sun	elev3000	otc	6	18,61	68,92		5,52	0,99
10.08.2016 15:40	10	70	photo	sun	elev3000	otc	5	18,61	68,92		10,89	1
10.08.2016 17:02	10	70	photo	sun	elev3000	otc	7	17,11	68,92		14,56	1
10.08.2016 12:33	10	70	photo	sun	elev3000	tt0	1	25,11	69,05		-1,25	0,76
10.08.2016 13:34	10	70	photo	sun	elev3000	tt0	2	23,11	69,04		-5,39	0,97
10.08.2016 13:47	10	70	photo	sun	elev3000	tt0	3	23,64	69,02		-5,78	0,98
10.08.2016 14:40	10	70	photo	sun	elev3000	tt0	6	18,54	68,92		12,12	1
10.08.2016 15:18	10	70	photo	sun	elev3000	tt0	7	18,31	68,91		20,94	0,99
10.08.2016 12:10	20	70	photo	sun	elev3000	tt1	1	24,61	69,02		-5,66	0,98
10.08.2016 13:27	20	80	photo	sun	elev3000	tt1	2	24,07	69,03		-1,52	0,88
10.08.2016 15:07	10	70	photo	sun	elev3000	tt1	7	18,11	68,91		1,28	0,52
10.08.2016 12:03	1	60	photo	sun	elev3000	tt3	1	24,61	69,02		5,65	0,94
10.08.2016 12:39	10	70	photo	sun	elev3000	tt3	2	27,91	69,02		-2,91	0,98
10.08.2016 13:41	10	70	photo	sun	elev3000	tt3	3	23,11	69,02		6,76	0,93
10.08.2016 14:09	1	55	photo	sun	elev3000	tt3	4	21,16	68,99		1,01	0,82
10.08.2016 14:25	10	70	photo	sun	elev3000	tt3	5	20,11	68,95		5,06	0,99
10.08.2016 14:33	1	40	photo	sun	elev3000	tt3	6	19,11	68,91		3,1	0,96
10.08.2016 14:59	1	70	photo	sun	elev3000	tt3	7	18,11	68,91		4,74	0,98
11.08.2016 13:30	1	40	photo	sun	elev3500	c	3	30,09	65,87		-2,14	0,98
11.08.2016 14:06	20	80	photo	sun	elev3500	c	1	26,33	65,68		0,32	0,4
11.08.2016 15:22	20	80	photo	sun	elev3500	c	2	21,11	65,66		-0,35	0,38
11.08.2016 16:02	1	40	photo	sun	elev3500	c	4	19,11	65,66		-2,04	0,97
11.08.2016 16:27	1	60	photo	sun	elev3500	c	7	20,11	65,68		0,45	0,57
11.08.2016 16:52	20	80	photo	sun	elev3500	c	6	22,11	65,68		-0,54	0,75
11.08.2016 17:17	10	80	photo	sun	elev3500	c	5	22,11	65,68		-4,79	0,99
11.08.2016 13:50	10	80	photo	sun	elev3500	otc	3	28,99	65,7		-3,94	1
11.08.2016 14:33	40	80	photo	sun	elev3500	otc	1	23,11	65,64		0,05	0,07
11.08.2016 15:04	20	80	photo	sun	elev3500	otc	2	21,6	65,63		-0,32	0,15
11.08.2016 15:45	20	80	photo	sun	elev3500	otc	4	19,06	65,67		1,66	0,91
11.08.2016 16:35	20	80	photo	sun	elev3500	otc	7	22,11	65,68		-1,67	0,94
11.08.2016 17:02	40	80	photo	sun	elev3500	otc	5	22,11	65,68		0,82	0,94
11.08.2016 17:38	40	80	photo	sun	elev3500	otc	6	22,11	65,68		2,4	0,98
11.08.2016 13:18	1	70	photo	sun	elev3500	tt0	4	28,28	65,97		-3,55	0,95
11.08.2016 13:44	10	70	photo	sun	elev3500	tt0	3	32,11	65,71		-4,38	0,98
11.08.2016 13:59	10	70	photo	sun	elev3500	tt0	1	26,11	65,68		-6,2	0,99
11.08.2016 15:13	1	60	photo	sun	elev3500	tt0	2	19,87	65,63		-1,31	0,95
11.08.2016 17:10	40	80	photo	sun	elev3500	tt0	5	22,11	65,68		0,63	0,85
11.08.2016 17:30	10	70	photo	sun	elev3500	tt0	6	22,11	65,68		-4,57	0,98
11.08.2016 13:24	10	80	photo	sun	elev3500	tt1	3	30,88	65,92		-4,39	0,98
11.08.2016 14:14	10	70	photo	sun	elev3500	tt1	1	25,61	65,66		-3,82	0,97
11.08.2016 15:30	1	45	photo	sun	elev3500	tt1	2	20,48	65,66		-1,85	0,97
11.08.2016 16:10	20	80	photo	sun	elev3500	tt1	4	19,06	65,67		7,83	0,96
11.08.2016 16:17	20	80	photo	sun	elev3500	tt1	7	20,04	65,68		6,84	1
11.08.2016 13:37	1	60	photo	sun	elev3500	tt2	3	31,01	65,78		-1,57	0,98
11.08.2016 14:24	20	80	photo	sun	elev3500	tt2	1	24,69	65,65		-2,69	0,94
11.08.2016 15:37	10	80	photo	sun	elev3500	tt2	2	20,11	65,64		-5,28	0,99
11.08.2016 15:54	10	70	photo	sun	elev3500	tt2	4	19,09	65,67		-4,23	0,99
11.08.2016 16:43	10	70	photo	sun	elev3500	tt2	6	22,11	65,68		6,85	0,99
11.08.2016 17:23	40	80	photo	sun	elev3500	tt2	5	22,11	65,68		-2,22	0,98
11.08.2016 17:46	10	80	photo	sun	elev3500	tt2	7	22,11	65,68		3,56	0,97
12.08.2016 13:23	10	80	photo	sun	elev3850	c	7	17,61	62,71		14,14	1
12.08.2016 09:45	10	80	photo	sun	elev3850	c	1	20,89	62,81		4,2	1
12.08.2016 10:16	1	60	photo	sun	elev3850	c	2	20,61	62,84		1,3	0,98
12.08.2016 10:30	20	80	photo	sun	elev3850	c	3	20,15	62,79		0,98	0,98
12.08.2016 11:43	10	80	photo	sun	elev3850	c	4	24,61	62,74		-4,57	1
12.08.2016 12:33	1	40	photo	sun	elev3850	c	5	19,09	62,74		-6,31	1
12.08.2016 13:08	1	60	photo	sun	elev3850	c	6	17,61	62,71		-0,64	0,83
12.08.2016 10:09	10	80	photo	sun	elev3850	otc	1	22,17	62,84		0,11	0,17
12.08.2016 10:55	20	80	photo	sun	elev3850	otc	2	17,88	62,73		-1,99	0,94
12.08.2016 11:15	10	80	photo	sun	elev3850	otc	3	19,11	62,79		-7,47	1
12.08.2016 11:35	10	80	photo	sun	elev3850	otc	4	23,08	62,81		-3,88	0,98
12.08.2016 12:04	40	80	photo	sun	elev3850	otc	5	27,93	62,8		-2,13	0,99
12.08.2016 13:15	10	70	photo	sun	elev3850	otc	6	17,61	62,71		0,38	0,67
12.08.2016 13:36	10	80	photo	sun	elev3850	otc	7	17,61	62,71		1,82	0,99
12.08.2016 13:02	10	80	photo	sun	elev3850	tt0	6	17,61	62,69		2,27	0,95
12.08.2016 09:54	10	80	photo	sun	elev3850	tt0	1	22,64	62,82		-1,34	0,99
12.08.2016 11:01	10	80	photo	sun	elev3850	tt0	2	17,61	62,73		-4,74	0,99
12.08.2016 11:22	1	60	photo	sun	elev3850	tt0	3	20,71	62,77		-2,23	0,99
12.08.2016 11:57	20	80	photo	sun	elev3850	tt0	4	26	62,79		21,19	1
12.08.2016 13:43	30	80	photo	sun	elev3850	tt0	7	17,61	62,71		1,23	0,9
12.08.2016 12:18	10	80	photo	sun	elev3850	tt1	5	24,11	62,74		-3,19	1
12.08.2016 10:01	40	80	photo	sun	elev3850	tt1	1	22,66	62,83		-0,89	0,94
12.08.2016 10:23	10	80	photo	sun	elev3850	tt1	2	20,11	62,81		5,34	0,99
12.08.2016 10:37	25	80	photo	sun	elev3850	tt1	3	20,61	62,81		0,04	0,04
12.08.2016 11:28	20	80	photo	sun	elev3850	tt1	4	22,84	62,78		-5,49	0,98
12.08.2016 12:54	40	80	photo	sun	elev3850	tt1	6	17,61	62,7		-1,55	0,96
12.08.2016 13:29	1	40	photo	sun	elev3850	tt1	7	17,61	62,71		-1,08	0,95
12.08.2016 10:43	10	80	photo	sun	elev3850	tt2	3	19,07	62,78		-1,86	0,94
12.08.2016 11:08	10	70	photo	sun	elev3850	tt2	2	18,11	62,76		3,01	0,97
12.08.2016 11:49	10	80	photo	sun	elev3850	tt2	4	26,11	62,79		-3,38	0,99
12.08.2016 12:25	20	70	photo	sun	elev3850	tt2	5	22,61	62,74		2,15	0,99
12.08.2016 12:40	1	60	photo	sun	elev3850	tt2	6	17,61	62,78		2,42	0,97
12.08.2016 12:47	20	80	photo	sun	elev3850	tt2	7	16,61	62,77		-4,73	0,98
12.08.2016 13:58	10	80	photo	sun	elev3850	tt2	1	17,61	62,71		0,91	0,51
13.08.2016 10:34	20	80	photo	sun	elev4100	c	1	17,93	60,88		0,41	0,9
13.08.2016 11:48	20	80	photo	sun	elev4100	c	3	20,61	60,84		-1,72	0,87
13.08.2016 12:18	20	80	photo	sun	elev4100	c	4	20,11	60,86		-5,21	0,97
13.08.2016 13:23	1	50	photo	sun	elev4100	c	5	20,61	60,84		-6,58	1
13.08.2016 11:04	20	80	photo	sun	elev4100	otc	1	16,61	60,89		-0,63	0,94
13.08.2016 11:12	20	80	photo	sun	elev4100	otc	2	17,57	60,86		-2,27	0,99
13.08.2016 11:33	10	80	photo	sun	elev4100	otc	2	20,61	60,85		-3,24	0,98
13.08.2016 11:54	10	80	photo	sun	elev4100	otc	3	20,33	60,82		-6,15	0,97
13.08.2016 13:14	1	50	photo	sun	elev4100	otc	4	20,61	60,84		-10,34	1
13.08.2016 13:31	10	80	photo	sun	elev4100	otc	5	20,61	60,84		-5,86	1
13.08.2016 10:50	10	80	photo	sun	elev4100	tt0	1	17,11	60,89		-1,57	0,99
13.08.2016 12:02	1	60	photo	sun	elev4100	tt0	3	20,61	60,85		-1,33	0,94
13.08.2016 12:33	1	80	photo	sun	elev4100	tt0	4	20,61	60,84		-0,1	0,03
13.08.2016 12:51	1	60	photo	sun	elev4100	tt0	5	20,61	60,84		-4,71	1
13.08.2016 13:43	1	60	photo	sun	elev4100	tt0	2	20,61	60,84		-7,08	0,96
13.08.2016 10:27	20	80	photo	sun	elev4100	tt2	1	18,93	60,88		0,37	0,74
13.08.2016 11:26	40	80	photo	sun	elev4100	tt2	2	19,83	60,85		-5,74	1
13.08.2016 11:41	20	80	photo	sun	elev4100	tt2	3	20,11	60,83		-3,33	0,97
13.08.2016 12:42	20	80	photo	sun	elev4100	tt2	4	20,61	60,84		-1,25	0,95
13.08.2016 10:57	10	60	photo	sun	elev4100	tt4	1	16,11	60,87		-1,88	0,96
13.08.2016 11:20	1	70	photo	sun	elev4100	tt4	2	19,11	60,86		-3,92	0,99
13.08.2016 12:11	30	80	photo	sun	elev4100	tt4	3	19,08	60,87		0,77	0,83
13.08.2016 12:26	20	80	photo	sun	elev4100	tt4	4	20,61	60,83		-0,89	0,95
13.08.2016 12:58	10	80	photo	sun	elev4100	tt4	5	20,61	60,84		-2,5	0,98
10.08.2016 12:29	10	80	resp	sun	elev3000	c	1	27,34	69,05		-6,33	1
10.08.2016 12:57	10	80	resp	sun	elev3000	c	2	26,75	68,95		-5,56	0,98
10.08.2016 13:56	10	80	resp	sun	elev3000	c	3	24	68,97		-12,73	1
