site;treatment;plot;filename;datetime;Exp_Flux;Exp_R2;Exp_FluxCV;Lin_Flux;Lin_R2;Lin_FluxCV;Type_IV;RAWCO2_IV;RAWH2O_IV;RAWCO2REF_IV;RAWH2OREF_IV;
elev3500;tt2;5;a3500_823_t2r52;8/23/15 14:43;16.2239;0.99978;1.62707;14.4266;0.998981;1.65963;2;3243555;1884502;3770349;1792124;
elev3500;tt2;2;a3500_823_t2r2;8/23/15 14:06;22.1684;0.996863;1.67412;14.4827;0.988406;2.02882;2;3243527;1904362;3772407;1792656;
elev3500;tt2;1;a3500_823_t2r1;8/23/15 13:33;19.586;0.999487;1.63085;12.2539;0.988931;2.01267;2;3247462;1862155;3771322;1792856;
elev3500;tt1;5;a3500_823_t1r5;8/23/15 15:06;8.24733;0.960286;3.50044;8.24733;0.960287;3.50042;2;3266803;1903748;3772342;1792997;
elev3500;tt1;4;a3500_823_t1r4;8/23/15 14:55;5.25834;0.99624;1.70354;3.73002;0.991432;1.96925;2;3266647;1929951;3772988;1792776;
elev3500;tt1;3;a3500_823_t1r3;8/23/15 14:17;21.4553;0.997577;1.6685;15.297;0.990609;1.95613;2;3242566;1897300;3771682;1792642;
elev3500;tt1;2;a3500_823_t1r2;8/23/15 13:58;18.8908;0.992448;1.7755;8.18508;0.979461;3.22226;2;3273612;1917723;3773016;1792905;
elev3500;tt1;1;a3500_823_t1r1;8/23/15 13:43;17.6645;0.995982;1.70431;13.2016;0.991483;1.91737;2;3232153;1890733;3771821;1792771;
elev3500;otc;1;a3500_823_osr1;8/23/15 15:21;24.3653;0.998598;1.62924;8.90989;0.951889;3.15451;2;3251564;1850804;3769960;1792198;
elev3500;otc;5;a3500_823_or5;8/23/15 12:19;25.979;0.999515;1.62375;14.9983;0.982831;2.18469;2;3237508;1891900;3770183;1791679;
elev3500;otc;4;a3500_823_or4;8/23/15 11:59;3.04443;0.995834;1.78358;3.04443;0.995834;1.78358;2;3271595;1911579;3772540;1792769;
elev3500;otc;3;a3500_823_or3;8/23/15 11:47;19.8917;0.994841;1.63302;4.58095;0.868358;4.59522;2;3271217;1914960;3773602;1793183;
elev3500;otc;2;a3500_823_or2;8/23/15 11:36;7.02023;0.995492;1.7125;4.50923;0.984423;2.27597;2;3272717;1919737;3774974;1794128;
elev3500;c;5;a3500_823_cr5;8/23/15 12:09;6.99638;0.988867;2.30257;5.06467;0.988369;2.8227;2;3276329;1913542;3.77E+06;1792533;
elev3500;c;4;a3500_823_cr4;8/23/15 11:25;7.02453;0.965053;5.02553;7.02453;0.965053;5.02552;2;3282680;1921065;3.77E+06;1793933;
elev3500;c;3;a3500_823_cr3;8/23/15 10:51;7.2116;0.994876;1.87373;5.08052;0.992738;2.25726;2;3280730;1940061;3.78E+06;1794239;
elev3500;c;2;a3500_823_cr2;8/23/15 10:41;9.90739;0.99843;1.6797;9.08036;0.998039;1.70376;2;3271452;1943402;3.78E+06;1794589;
elev3500;c;1;a3500_823_cr1;8/23/15 10:25;7.3778;0.999287;1.6492;5.80565;0.997306;1.74702;2;3277307;1944781;3.78E+06;1794794;
elev3850;tt1;5;a3800-825-a1r5;8/25/15 14:34;6.49949;0.98534;2.10563;5.74672;0.984192;2.24473;2;3261248;1968802;3776561;1794180;
elev3850;tt1;4;a3800-825-a1r4;8/25/15 14:03;24.6271;0.998877;1.69494;13.7856;0.983234;2.21555;2;3241166;1961895;3775430;1793916;
elev3850;tt1;3;a3800-825-a1r3;8/25/15 13:43;25.1303;0.999581;1.69453;24.0683;0.999493;1.69906;2;3211308;1953519;3775383;1793973;
elev3850;tt1;2;a3800-825-a1r2;8/25/15 13:21;13.2613;0.997748;1.72698;8.99542;0.991979;1.99354;2;3273842;1950659;3775681;1793932;
