"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-10 13:21:19,24.113,69.02,3.94,31.9,400
"2",2016-08-10 13:21:20,24.113,69.02,3.94,31.8,401
"3",2016-08-10 13:21:21,24.113,69.02,3.94,31.9,406.1
"4",2016-08-10 13:21:22,24.113,69.02,4.18,31.8,406.8
"5",2016-08-10 13:21:23,24.113,69.02,3.83,31.8,408.3
"6",2016-08-10 13:21:24,24.113,69.02,3.94,31.8,406.8
"7",2016-08-10 13:21:25,24.113,69.02,3.83,31.9,415.7
"8",2016-08-10 13:21:26,24.113,69.02,4.06,31.7,411.4
"9",2016-08-10 13:21:27,24.113,69.02,3.71,31.8,415.1
"10",2016-08-10 13:21:28,24.113,69.02,4.06,31.8,417
"11",2016-08-10 13:21:29,24.113,69.02,3.83,31.9,421.1
"12",2016-08-10 13:21:30,24.113,69.02,4.06,31.6,417.8
"13",2016-08-10 13:21:31,24.113,69.02,3.94,31.6,422.5
"14",2016-08-10 13:21:32,24.113,69.02,4.06,31.5,421.9
"15",2016-08-10 13:21:33,24.113,69.02,4.06,31.6,424.5
"16",2016-08-10 13:21:34,24.113,69.02,4.18,31.7,428.6
"17",2016-08-10 13:21:35,24.113,69.02,3.83,31.4,428
"18",2016-08-10 13:21:36,24.113,69.02,4.18,31.5,427.6
"19",2016-08-10 13:21:37,24.113,69.02,4.06,31.5,433.1
"20",2016-08-10 13:21:38,24.113,69.02,4.06,31.4,429.9
"21",2016-08-10 13:21:39,24.113,69.02,3.94,31.5,435.1
"22",2016-08-10 13:21:40,24.113,69.02,4.06,31.4,435
"23",2016-08-10 13:21:41,24.113,69.02,3.59,31.5,435.8
"24",2016-08-10 13:21:42,24.113,69.02,4.18,31.5,438
"25",2016-08-10 13:21:43,24.113,69.02,4.06,31.4,439.6
"26",2016-08-10 13:21:44,24.113,69.02,3.83,31.4,437.8
"27",2016-08-10 13:21:45,24.113,69.02,3.83,31.5,442.4
"28",2016-08-10 13:21:46,24.113,69.02,3.71,31.4,442.2
"29",2016-08-10 13:21:47,24.113,69.02,3.83,31.4,442.7
"30",2016-08-10 13:21:48,24.113,69.02,4.18,31.5,446
"31",2016-08-10 13:21:49,24.113,69.02,3.83,31.5,444.9
"32",2016-08-10 13:21:50,24.113,69.02,3.59,31.4,448.5
"33",2016-08-10 13:21:51,24.113,69.02,3.47,31.4,448.1
"34",2016-08-10 13:21:52,24.113,69.02,3.47,31.5,458.7
"35",2016-08-10 13:21:53,24.113,69.02,3.94,31.4,447.8
"36",2016-08-10 13:21:54,24.113,69.02,3.94,31.5,453.6
"37",2016-08-10 13:21:55,24.113,69.02,4.06,31.5,452.4
"38",2016-08-10 13:21:56,24.113,69.02,3.83,31.6,457.2
"39",2016-08-10 13:21:57,24.113,69.02,3.83,31.3,455.3
"40",2016-08-10 13:21:58,24.113,69.02,3.71,31.5,456.2
"41",2016-08-10 13:21:59,24.113,69.02,3.59,31.5,459.2
"42",2016-08-10 13:22:00,24.113,69.02,3.94,31.5,459.4
"43",2016-08-10 13:22:01,24.113,69.02,4.06,31.3,457.7
"44",2016-08-10 13:22:02,24.113,69.02,3.83,31.6,461
"45",2016-08-10 13:22:03,24.113,69.02,3.71,31.6,460.7
"46",2016-08-10 13:22:04,24.113,69.02,4.06,31.6,463.6
"47",2016-08-10 13:22:05,24.113,69.02,4.06,31.6,462.3
"48",2016-08-10 13:22:06,24.113,69.02,4.18,31.5,464.5
"49",2016-08-10 13:22:07,24.113,69.02,3.35,31.5,464.1
"50",2016-08-10 13:22:08,24.113,69.02,3.59,31.6,467.7
"51",2016-08-10 13:22:09,24.113,69.02,3.59,31.6,467
"52",2016-08-10 13:22:10,24.113,69.02,4.06,31.5,466.7
"53",2016-08-10 13:22:11,24.113,69.02,3.83,31.5,470
"54",2016-08-10 13:22:12,24.113,69.02,3.59,31.5,469.8
"55",2016-08-10 13:22:13,24.113,69.02,3.71,31.5,471.4
"56",2016-08-10 13:22:14,24.113,69.02,3.59,31.6,470.8
"57",2016-08-10 13:22:15,24.113,69.02,3.71,31.6,472.6
"58",2016-08-10 13:22:16,24.113,69.02,3.35,31.6,473.4
"59",2016-08-10 13:22:17,24.113,69.02,3.59,31.6,474.6
"60",2016-08-10 13:22:18,24.113,69.02,3.94,31.6,476.6
"61",2016-08-10 13:22:19,24.113,69.02,3.83,31.5,476.1
"62",2016-08-10 13:22:20,24.113,69.02,3.71,31.5,478.5
"63",2016-08-10 13:22:21,24.113,69.02,3.83,31.5,479.5
"64",2016-08-10 13:22:22,24.113,69.02,3.59,31.5,481.6
