"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-10 13:54:12,23.613,69.02,863.64,30.6,413.4
"2",2016-08-10 13:54:13,23.613,69.02,879.42,30.6,415.5
"3",2016-08-10 13:54:14,23.613,69.02,879.18,30.6,418.8
"4",2016-08-10 13:54:15,23.613,69.02,878.58,30.6,419.8
"5",2016-08-10 13:54:16,23.613,69.01,878.34,30.5,419
"6",2016-08-10 13:54:17,23.613,69.01,879.18,30.5,423.9
"7",2016-08-10 13:54:18,23.613,69.01,866.87,30.5,421.9
"8",2016-08-10 13:54:19,23.613,69.01,868.18,30.5,425.4
"9",2016-08-10 13:54:20,23.613,69.02,864.84,30.5,424.7
"10",2016-08-10 13:54:21,23.613,69.02,869.14,30.7,428.3
"11",2016-08-10 13:54:22,23.613,69.02,867.23,30.6,430.6
"12",2016-08-10 13:54:23,23.613,69.01,873.8,30.5,426.1
"13",2016-08-10 13:54:24,23.613,69.01,879.66,30.5,432.6
"14",2016-08-10 13:54:25,23.613,69.01,882.88,30.5,431.5
"15",2016-08-10 13:54:26,23.613,69.01,881.57,30.5,444.7
"16",2016-08-10 13:54:27,23.613,69.02,882.29,30.6,432.1
"17",2016-08-10 13:54:28,23.613,69.02,870.45,30.6,435.7
"18",2016-08-10 13:54:29,23.613,69.02,858.02,30.6,431.8
"19",2016-08-10 13:54:30,23.613,69.01,853.24,30.4,441.3
"20",2016-08-10 13:54:31,23.613,69.01,856.71,30.4,436.3
"21",2016-08-10 13:54:32,23.613,69.02,857.66,30.6,442
"22",2016-08-10 13:54:33,23.613,69.02,857.78,30.6,438.7
"23",2016-08-10 13:54:34,23.613,69.01,857.3,30.7,439
"24",2016-08-10 13:54:35,23.613,69.01,854.44,30.7,441.4
"25",2016-08-10 13:54:36,23.613,69.01,856.11,30.9,444.4
"26",2016-08-10 13:54:37,23.613,69.01,855.63,30.8,444
"27",2016-08-10 13:54:38,23.613,69.01,828.02,30.7,442.4
"28",2016-08-10 13:54:39,23.613,69.01,871.41,31,444.6
"29",2016-08-10 13:54:40,23.613,69.02,876.91,30.9,443.7
"30",2016-08-10 13:54:41,23.613,69.02,876.43,31,446.1
"31",2016-08-10 13:54:42,23.613,69.02,873.56,30.9,445.1
"32",2016-08-10 13:54:43,23.613,69.02,875.12,31,449.9
"33",2016-08-10 13:54:44,23.613,69.02,874.04,30.9,450.1
"34",2016-08-10 13:54:45,23.613,69.01,874.4,30.9,449.7
"35",2016-08-10 13:54:46,23.613,69.01,875.35,30.9,451.3
"36",2016-08-10 13:54:47,23.613,69.01,874.76,31,450.6
"37",2016-08-10 13:54:48,23.613,69.01,874.52,31.1,454.7
"38",2016-08-10 13:54:49,23.613,69.02,873.08,31.1,450
"39",2016-08-10 13:54:50,23.613,69.02,872.84,31.1,451.6
"40",2016-08-10 13:54:51,23.613,69.02,872.72,31.1,452.3
"41",2016-08-10 13:54:52,23.613,69.01,872.72,31,455.7
"42",2016-08-10 13:54:53,23.613,69.01,872.01,31,454.4
"43",2016-08-10 13:54:54,23.613,69,871.77,31.3,460.4
"44",2016-08-10 13:54:55,23.613,69.01,870.93,31.2,455.8
"45",2016-08-10 13:54:56,23.613,69.02,869.86,30.7,454
"46",2016-08-10 13:54:57,23.613,69.02,870.33,30.6,457.4
"47",2016-08-10 13:54:58,23.613,69.01,870.45,30.5,458.2
"48",2016-08-10 13:54:59,23.613,69.01,870.81,30.4,456.3
"49",2016-08-10 13:55:00,23.613,69.01,869.38,30.7,462.7
"50",2016-08-10 13:55:01,23.613,69,869.5,30.7,457.9
"51",2016-08-10 13:55:02,23.613,69.01,868.9,30.9,460.5
"52",2016-08-10 13:55:03,23.613,69.02,869.02,31,463.3
"53",2016-08-10 13:55:04,23.613,69.02,868.18,30.9,460.1
"54",2016-08-10 13:55:05,23.613,69.02,866.51,31.2,471.3
"55",2016-08-10 13:55:06,23.613,69.02,864.95,31.1,465
"56",2016-08-10 13:55:07,23.613,69.02,864,31,461.5
"57",2016-08-10 13:55:08,23.613,69.01,864.48,31.1,465.6
"58",2016-08-10 13:55:09,23.613,69.01,863.64,31,464.8
"59",2016-08-10 13:55:10,23.613,69.01,862.32,31.1,469.7
"60",2016-08-10 13:55:11,23.613,69.01,861.01,30.7,471
"61",2016-08-10 13:55:12,23.613,69.02,859.58,30.6,470.5
"62",2016-08-10 13:55:13,23.613,69.01,856.35,30.4,472.7
"63",2016-08-10 13:55:14,23.613,69.01,858.98,30.6,470.3
"64",2016-08-10 13:55:15,23.613,69.01,858.02,30.4,469.7
"65",2016-08-10 13:55:16,23.613,69.01,858.86,30.5,471.6
"66",2016-08-10 13:55:17,23.613,69.01,859.58,30.5,473.5
"67",2016-08-10 13:55:18,23.613,69.02,857.78,30.5,474.7
"68",2016-08-10 13:55:19,23.613,69.02,857.3,30.4,471.2
"69",2016-08-10 13:55:20,23.613,69.01,855.99,30.5,474.1
"70",2016-08-10 13:55:21,23.613,69.01,856.35,30.5,472.1
"71",2016-08-10 13:55:22,23.613,69.01,855.27,30.4,472
"72",2016-08-10 13:55:23,23.613,69,856.35,30.4,476.7
"73",2016-08-10 13:55:24,23.613,69.01,857.18,30.4,474.8
"74",2016-08-10 13:55:25,23.613,69.01,853.6,30.4,476.1
"75",2016-08-10 13:55:26,23.613,69.01,854.67,30.4,476.9
"76",2016-08-10 13:55:27,23.613,69.02,853.96,30.4,477.8
"77",2016-08-10 13:55:28,23.613,69.02,852.52,30.5,477.3
"78",2016-08-10 13:55:29,23.613,69.01,852.64,30.5,481.6
"79",2016-08-10 13:55:30,23.613,69.01,850.61,30.4,478.2
"80",2016-08-10 13:55:31,23.613,69,849.53,30.4,478.4
"81",2016-08-10 13:55:32,23.613,69.01,847.38,30.4,482.8
"82",2016-08-10 13:55:33,23.613,69.01,848.34,30.3,479.7
"83",2016-08-10 13:55:34,23.613,69.02,848.1,30.2,480.7
"84",2016-08-10 13:55:35,23.613,69.02,848.1,30.3,483.2
"85",2016-08-10 13:55:36,23.613,69.02,847.38,30.3,491.6
"86",2016-08-10 13:55:37,23.613,69.01,846.67,30.3,481.6
"87",2016-08-10 13:55:38,23.613,69.01,847.02,30.3,482.1
"88",2016-08-10 13:55:39,23.613,69.01,846.43,30.1,479.8
"89",2016-08-10 13:55:40,23.613,69.01,845.11,30.3,482
"90",2016-08-10 13:55:41,23.613,69.01,845.83,30.2,483.3
"91",2016-08-10 13:55:42,23.613,69.01,845.59,30.1,483.1
"92",2016-08-10 13:55:43,23.613,69.01,844.63,30.2,482.9
"93",2016-08-10 13:55:44,23.613,69.01,845.35,30.1,480.2
"94",2016-08-10 13:55:45,23.613,69.01,844.63,30.2,486.8
