"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-10 13:57:36,24.113,68.96,2.51,30.5,408.2
"2",2016-08-10 13:57:37,24.113,68.96,2.63,30.7,414.4
"3",2016-08-10 13:57:38,24.113,68.96,2.63,30.6,413.8
"4",2016-08-10 13:57:39,24.113,68.96,2.27,30.6,414
"5",2016-08-10 13:57:40,24.113,68.96,2.75,30.7,419.5
"6",2016-08-10 13:57:41,24.113,68.96,2.51,30.7,420.7
"7",2016-08-10 13:57:42,24.113,68.96,2.63,30.7,422.7
"8",2016-08-10 13:57:43,24.113,68.96,2.75,30.7,427.3
"9",2016-08-10 13:57:44,24.113,68.96,2.75,30.7,427.7
"10",2016-08-10 13:57:45,24.113,68.96,2.87,30.7,429.3
"11",2016-08-10 13:57:46,24.113,68.96,2.27,30.7,434.8
"12",2016-08-10 13:57:47,24.113,68.97,2.87,30.7,435.2
"13",2016-08-10 13:57:48,24.113,68.97,2.63,30.7,436.6
"14",2016-08-10 13:57:49,23.613,68.97,2.51,30.7,438.7
"15",2016-08-10 13:57:50,23.613,68.97,2.75,30.6,440.3
"16",2016-08-10 13:57:51,23.613,68.96,2.39,30.7,442.7
"17",2016-08-10 13:57:52,23.613,68.95,2.63,30.7,442.5
"18",2016-08-10 13:57:53,23.613,68.94,2.51,30.9,449.1
"19",2016-08-10 13:57:54,23.613,68.95,2.99,30.7,449.2
"20",2016-08-10 13:57:55,23.613,68.95,2.75,30.8,451
"21",2016-08-10 13:57:56,23.613,68.95,2.39,30.8,454.1
"22",2016-08-10 13:57:57,23.613,68.95,2.75,30.7,452.8
"23",2016-08-10 13:57:58,23.613,68.95,2.51,30.7,451.7
"24",2016-08-10 13:57:59,23.613,68.95,2.63,30.8,459
"25",2016-08-10 13:58:00,23.613,68.94,2.75,30.9,460.4
"26",2016-08-10 13:58:01,23.613,68.94,2.39,30.8,462.3
"27",2016-08-10 13:58:02,23.613,68.95,2.75,30.9,461.9
"28",2016-08-10 13:58:03,23.613,68.95,2.75,30.9,468
"29",2016-08-10 13:58:04,23.613,68.95,2.39,30.8,471.3
"30",2016-08-10 13:58:05,23.613,68.95,2.39,30.9,471.7
"31",2016-08-10 13:58:06,23.613,68.95,2.51,30.8,470.7
"32",2016-08-10 13:58:07,23.613,68.94,2.15,30.8,473.1
"33",2016-08-10 13:58:08,23.613,68.95,2.15,30.9,480.4
"34",2016-08-10 13:58:09,23.613,68.95,2.27,30.7,475.9
"35",2016-08-10 13:58:10,23.613,68.96,2.51,30.9,485.1
"36",2016-08-10 13:58:11,23.613,68.97,2.63,30.7,482.5
"37",2016-08-10 13:58:12,23.613,68.97,2.39,30.8,484.9
"38",2016-08-10 13:58:13,23.613,68.96,2.51,30.7,487.7
"39",2016-08-10 13:58:14,23.613,68.96,2.27,30.7,490.6
"40",2016-08-10 13:58:15,23.613,68.96,2.15,30.7,490.8
"41",2016-08-10 13:58:16,23.613,68.96,2.75,30.6,490.7
"42",2016-08-10 13:58:17,23.613,68.96,2.51,30.7,497.4
