"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-10 14:49:05,18.108,68.91,2.63,24,463.3
"2",2016-08-10 14:49:06,18.108,68.91,2.75,24,466.2
"3",2016-08-10 14:49:07,18.108,68.91,2.51,23.8,463
"4",2016-08-10 14:49:08,18.108,68.91,2.75,23.9,464.4
"5",2016-08-10 14:49:09,18.108,68.91,2.63,23.9,468.1
"6",2016-08-10 14:49:10,18.108,68.91,2.99,24,470.3
"7",2016-08-10 14:49:11,18.108,68.91,3.23,23.9,469.3
"8",2016-08-10 14:49:12,18.108,68.91,2.75,23.9,473.3
"9",2016-08-10 14:49:13,18.108,68.91,2.99,23.8,469.9
"10",2016-08-10 14:49:14,18.108,68.91,2.87,23.8,473.9
"11",2016-08-10 14:49:15,18.108,68.91,3.11,23.7,470.8
"12",2016-08-10 14:49:16,18.108,68.91,2.99,23.9,477.4
"13",2016-08-10 14:49:17,18.108,68.91,3.11,23.9,477.5
"14",2016-08-10 14:49:18,18.108,68.91,2.99,23.9,477.6
"15",2016-08-10 14:49:19,18.108,68.91,2.99,23.9,484.2
"16",2016-08-10 14:49:20,18.108,68.91,3.11,23.8,479
"17",2016-08-10 14:49:21,18.108,68.91,2.99,23.8,484.7
"18",2016-08-10 14:49:22,18.108,68.91,2.99,23.8,483.5
"19",2016-08-10 14:49:23,18.108,68.91,2.87,23.8,485.2
"20",2016-08-10 14:49:24,18.108,68.91,3.11,23.8,486.3
"21",2016-08-10 14:49:25,18.108,68.91,3.11,23.9,489.1
"22",2016-08-10 14:49:26,18.108,68.91,3.11,23.7,487.9
"23",2016-08-10 14:49:27,18.108,68.91,2.99,23.8,493.5
"24",2016-08-10 14:49:28,18.108,68.91,2.75,23.8,494.3
"25",2016-08-10 14:49:29,18.108,68.91,2.99,23.7,495.5
"26",2016-08-10 14:49:30,18.108,68.91,3.11,23.8,493.8
"27",2016-08-10 14:49:31,18.108,68.91,3.11,23.7,498
"28",2016-08-10 14:49:32,18.108,68.91,2.99,23.7,497.3
"29",2016-08-10 14:49:33,18.108,68.91,3.11,23.8,501
"30",2016-08-10 14:49:34,18.108,68.91,3.11,23.7,499.6
"31",2016-08-10 14:49:35,18.108,68.91,2.87,23.8,507.4
"32",2016-08-10 14:49:36,18.108,68.91,2.87,23.7,504.9
"33",2016-08-10 14:49:37,18.108,68.91,2.99,23.6,506.3
"34",2016-08-10 14:49:38,18.108,68.91,2.63,23.6,504.8
"35",2016-08-10 14:49:39,18.108,68.91,2.87,23.6,508.7
"36",2016-08-10 14:49:40,18.108,68.91,2.99,23.6,506.4
"37",2016-08-10 14:49:41,18.108,68.91,2.63,23.6,513.8
"38",2016-08-10 14:49:42,18.108,68.91,2.75,23.7,513
"39",2016-08-10 14:49:43,18.108,68.91,2.51,23.6,514.4
"40",2016-08-10 14:49:44,18.108,68.91,2.87,23.6,513.6
"41",2016-08-10 14:49:45,18.108,68.91,2.87,23.7,519.7
"42",2016-08-10 14:49:46,18.108,68.91,2.87,23.7,520.9
"43",2016-08-10 14:49:47,18.108,68.91,2.87,23.5,516.4
"44",2016-08-10 14:49:48,18.108,68.91,3.23,23.7,523.7
"45",2016-08-10 14:49:49,18.108,68.91,2.63,23.5,521.2
"46",2016-08-10 14:49:50,18.108,68.91,2.87,23.5,522.6
"47",2016-08-10 14:49:51,18.108,68.91,2.87,23.5,522.7
"48",2016-08-10 14:49:52,18.108,68.91,3.47,23.6,529.3
"49",2016-08-10 14:49:53,18.108,68.91,2.87,23.5,527.4
"50",2016-08-10 14:49:54,18.108,68.91,2.63,23.6,528.7
"51",2016-08-10 14:49:55,18.108,68.91,2.99,23.5,531.6
"52",2016-08-10 14:49:56,18.108,68.91,2.99,23.5,531.4
"53",2016-08-10 14:49:57,18.108,68.91,3.11,23.6,536.7
"54",2016-08-10 14:49:58,18.108,68.91,2.87,23.4,535
"55",2016-08-10 14:49:59,18.108,68.91,3.11,23.4,535
"56",2016-08-10 14:50:00,18.108,68.91,2.75,23.5,539.7
"57",2016-08-10 14:50:01,18.108,68.91,3.11,23.4,538.4
"58",2016-08-10 14:50:02,18.108,68.91,2.75,23.5,538.2
"59",2016-08-10 14:50:03,18.108,68.91,2.75,23.5,540.6
"60",2016-08-10 14:50:04,18.108,68.91,2.27,23.4,539.1
"61",2016-08-10 14:50:05,18.108,68.91,2.75,23.4,545.8
"62",2016-08-10 14:50:06,18.108,68.91,3.11,23.4,544.8
"63",2016-08-10 14:50:07,18.108,68.91,3.23,23.4,550.2
"64",2016-08-10 14:50:08,18.108,68.91,2.87,23.4,544.5
"65",2016-08-10 14:50:09,18.108,68.91,2.99,23.5,548.3
"66",2016-08-10 14:50:10,18.108,68.91,2.87,23.5,555.2
"67",2016-08-10 14:50:11,18.108,68.91,3.11,23.3,548.7
"68",2016-08-10 14:50:12,18.108,68.91,2.87,23.4,555.9
"69",2016-08-10 14:50:13,18.108,68.91,2.87,23.5,557
"70",2016-08-10 14:50:14,18.108,68.91,2.99,23.4,557.4
"71",2016-08-10 14:50:15,18.108,68.91,2.99,23.4,555.9
"72",2016-08-10 14:50:16,18.108,68.91,2.99,23.4,559.2
"73",2016-08-10 14:50:17,18.108,68.91,2.51,23.5,561.2
"74",2016-08-10 14:50:18,18.108,68.91,2.75,23.5,562
"75",2016-08-10 14:50:19,18.108,68.91,2.99,23.5,564.2
"76",2016-08-10 14:50:20,18.108,68.91,2.99,23.4,562.9
"77",2016-08-10 14:50:21,18.108,68.91,2.63,23.5,565.1
"78",2016-08-10 14:50:22,18.108,68.91,2.87,23.5,565.6
"79",2016-08-10 14:50:23,18.108,68.91,3.35,23.4,569.4
"80",2016-08-10 14:50:24,18.108,68.91,2.99,23.5,567.1
"81",2016-08-10 14:50:25,18.108,68.91,2.75,23.4,578.4
"82",2016-08-10 14:50:26,18.108,68.91,2.87,23.4,574.3
