"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-11 14:47:27,22.613,65.62,1703.37,34.3,326.5
"2",2016-08-11 14:47:28,22.613,65.62,1736.36,34.2,326.4
"3",2016-08-11 14:47:29,22.613,65.62,1749.87,34.3,328.1
"4",2016-08-11 14:47:30,22.613,65.62,1747.6,34.3,326.5
"5",2016-08-11 14:47:31,22.613,65.62,1764.57,34.2,326.5
"6",2016-08-11 14:47:32,22.613,65.62,1762.3,34.3,326.8
"7",2016-08-11 14:47:33,22.613,65.62,1769.83,34.3,326.1
"8",2016-08-11 14:47:34,22.613,65.62,1770.67,34.2,326.5
"9",2016-08-11 14:47:35,22.613,65.62,1762.06,34.3,325.7
"10",2016-08-11 14:47:36,22.613,65.62,1745.21,34.2,324.5
"11",2016-08-11 14:47:37,22.613,65.62,1708.87,34.2,325.6
"12",2016-08-11 14:47:38,22.613,65.62,1703.49,34.1,325.8
"13",2016-08-11 14:47:39,22.613,65.62,1707.68,34.1,324.5
"14",2016-08-11 14:47:40,22.613,65.62,1746.29,34.1,326
"15",2016-08-11 14:47:41,22.613,65.62,1747,34.1,325.2
"16",2016-08-11 14:47:42,22.613,65.62,1755.73,34,324.5
"17",2016-08-11 14:47:43,22.613,65.62,1746.41,33.9,324
"18",2016-08-11 14:47:44,22.613,65.62,1720.83,33.8,322.9
"19",2016-08-11 14:47:45,22.613,65.62,1732.18,33.8,323.3
"20",2016-08-11 14:47:46,22.613,65.62,1742.82,33.7,322.5
"21",2016-08-11 14:47:47,22.613,65.62,1743.06,33.8,322.7
"22",2016-08-11 14:47:48,22.613,65.62,1717.72,33.7,323.3
"23",2016-08-11 14:47:49,22.613,65.62,1706.84,33.8,322.7
"24",2016-08-11 14:47:50,22.613,65.62,1712.82,33.8,319.8
"25",2016-08-11 14:47:51,22.613,65.62,1740.19,33.8,320.7
"26",2016-08-11 14:47:52,22.613,65.62,1741.5,33.8,320.8
"27",2016-08-11 14:47:53,22.613,65.62,1732.06,33.9,320.4
"28",2016-08-11 14:47:54,22.613,65.62,1731.7,33.9,321.3
"29",2016-08-11 14:47:55,22.613,65.62,1728.24,33.9,320.2
