"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-11 12:42:33,28.612,65.97,1883.99,28.6,311.4
"2",2016-08-11 12:42:34,28.612,65.97,1871.2,28.6,311.9
"3",2016-08-11 12:42:35,28.612,65.97,1800.55,28.7,310.7
"4",2016-08-11 12:42:36,28.612,65.97,1834.14,28.7,309.9
"5",2016-08-11 12:42:37,28.612,65.97,1857.57,28.6,310.5
"6",2016-08-11 12:42:38,28.612,65.97,1800.91,28.5,306.5
"7",2016-08-11 12:42:39,28.612,65.97,1833.43,28.5,309.9
"8",2016-08-11 12:42:40,28.612,65.97,1823.63,28.5,305.7
"9",2016-08-11 12:42:41,28.612,65.97,1806.05,28.5,304
"10",2016-08-11 12:42:42,28.612,65.97,1788.6,28.5,299.4
"11",2016-08-11 12:42:43,28.612,65.97,1765.41,28.4,304
"12",2016-08-11 12:42:44,28.612,65.97,1759.79,28.3,301.1
"13",2016-08-11 12:42:45,28.612,65.97,1724.89,28.3,300.1
"14",2016-08-11 12:42:46,28.612,65.97,1762.66,28.2,298.7
"15",2016-08-11 12:42:47,28.612,65.97,1775.57,28.3,300.2
"16",2016-08-11 12:42:48,28.612,65.97,1824.1,28.1,297.6
"17",2016-08-11 12:42:49,28.612,65.97,1863.43,28.3,297.3
"18",2016-08-11 12:42:50,28.612,65.97,1902.04,28.1,295.2
"19",2016-08-11 12:42:51,28.612,65.97,1924.39,28.2,293.4
"20",2016-08-11 12:42:52,28.612,65.97,1915.43,28.2,298.2
"21",2016-08-11 12:42:53,28.612,65.97,1980.22,28.2,292.2
"22",2016-08-11 12:42:54,28.612,65.97,2017.87,28.1,293.7
"23",2016-08-11 12:42:55,28.612,65.97,1964.56,28.2,291.9
"24",2016-08-11 12:42:56,28.612,65.97,1929.89,28.1,292.1
"25",2016-08-11 12:42:57,28.612,65.97,1994.08,28,291.9
"26",2016-08-11 12:42:58,28.612,65.97,1991.57,28.2,289.9
"27",2016-08-11 12:42:59,28.612,65.97,2018.47,28.2,290.6
"28",2016-08-11 12:43:00,28.612,65.97,1986.19,28.2,288.1
"29",2016-08-11 12:43:01,28.612,65.97,1999.7,28.3,289.3
"30",2016-08-11 12:43:02,28.612,65.97,1971.49,28.2,288.7
