"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-13 10:11:47,19.109,60.87,1.67,20.1,354.1
"2",2016-08-13 10:11:48,19.109,60.87,1.91,20.1,356.2
"3",2016-08-13 10:11:49,19.109,60.87,1.67,20.1,360.9
"4",2016-08-13 10:11:50,19.109,60.87,1.79,20.1,359.5
"5",2016-08-13 10:11:51,19.109,60.87,2.39,20.1,359.8
"6",2016-08-13 10:11:52,19.109,60.87,2.15,20.1,357.8
"7",2016-08-13 10:11:53,19.109,60.87,1.91,20.2,363.2
"8",2016-08-13 10:11:54,19.109,60.87,1.79,20.1,361.9
"9",2016-08-13 10:11:55,19.109,60.87,2.15,20.2,363.6
"10",2016-08-13 10:11:56,19.109,60.87,2.15,20.1,362.3
"11",2016-08-13 10:11:57,19.109,60.87,2.15,20.1,363.4
"12",2016-08-13 10:11:58,19.109,60.87,1.91,20.2,365.3
"13",2016-08-13 10:11:59,19.109,60.87,1.79,20.1,362
"14",2016-08-13 10:12:00,19.109,60.87,1.91,20.2,365.2
"15",2016-08-13 10:12:01,19.109,60.87,1.67,20.1,363.9
"16",2016-08-13 10:12:02,19.109,60.87,1.91,20.2,367.2
"17",2016-08-13 10:12:03,19.109,60.87,1.79,20.2,368
"18",2016-08-13 10:12:04,19.109,60.87,1.55,20.1,363.7
"19",2016-08-13 10:12:05,19.109,60.87,1.67,20.2,367.8
"20",2016-08-13 10:12:06,19.109,60.87,1.67,20.2,368.7
"21",2016-08-13 10:12:07,19.109,60.87,1.67,20.1,368
"22",2016-08-13 10:12:08,19.109,60.87,1.79,20.2,370.1
"23",2016-08-13 10:12:09,19.109,60.87,2.03,20.1,369
"24",2016-08-13 10:12:10,19.109,60.87,2.03,20.2,370.6
"25",2016-08-13 10:12:11,19.109,60.87,2.03,20.2,372.2
"26",2016-08-13 10:12:12,19.109,60.87,1.79,20.2,371.4
"27",2016-08-13 10:12:13,19.109,60.87,1.67,20.1,371.9
"28",2016-08-13 10:12:14,19.109,60.87,1.91,20.1,375.4
"29",2016-08-13 10:12:15,19.109,60.87,1.91,20.2,374.3
"30",2016-08-13 10:12:16,19.109,60.87,1.67,20.1,372.5
"31",2016-08-13 10:12:17,19.109,60.87,2.03,20.1,373.5
"32",2016-08-13 10:12:18,19.109,60.87,1.79,20.1,374.3
"33",2016-08-13 10:12:19,19.109,60.87,1.55,20.1,374.2
"34",2016-08-13 10:12:20,19.109,60.87,1.67,20.1,377.2
"35",2016-08-13 10:12:21,19.109,60.87,2.03,20.1,377.1
"36",2016-08-13 10:12:22,19.109,60.87,2.03,20.1,377.4
"37",2016-08-13 10:12:23,19.109,60.87,1.91,20.1,377.5
"38",2016-08-13 10:12:24,19.109,60.87,1.67,20.1,378.9
"39",2016-08-13 10:12:25,19.109,60.87,1.31,20.1,374.9
"40",2016-08-13 10:12:26,19.109,60.87,1.79,20.1,380.9
"41",2016-08-13 10:12:27,19.109,60.87,2.03,20.1,378.2
"42",2016-08-13 10:12:28,19.109,60.87,1.91,20.1,378.6
"43",2016-08-13 10:12:29,19.109,60.87,2.15,20.1,380.4
"44",2016-08-13 10:12:30,19.109,60.87,1.91,20.1,378.2
"45",2016-08-13 10:12:31,19.109,60.87,2.03,20.1,381.5
"46",2016-08-13 10:12:32,19.109,60.87,1.55,20.2,381.2
"47",2016-08-13 10:12:33,19.109,60.87,1.79,20.1,380
"48",2016-08-13 10:12:34,19.109,60.87,1.55,20.1,381.7
"49",2016-08-13 10:12:35,19.109,60.87,1.79,20.1,382.3
"50",2016-08-13 10:12:36,19.109,60.87,1.79,20.1,382.3
"51",2016-08-13 10:12:37,19.109,60.87,1.67,20.1,380.9
"52",2016-08-13 10:12:38,19.109,60.87,1.91,20.2,384
"53",2016-08-13 10:12:39,19.109,60.87,1.55,20.1,382.9
