"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-12 09:24:39,20.611,62.81,782.12,25.7,368.1
"2",2016-08-12 09:24:40,20.611,62.81,782.95,25.6,367.1
"3",2016-08-12 09:24:41,20.611,62.81,782.95,25.6,369
"4",2016-08-12 09:24:42,20.611,62.81,782,25.6,368.5
"5",2016-08-12 09:24:43,20.611,62.81,782.95,25.6,372.9
"6",2016-08-12 09:24:44,20.611,62.81,783.07,25.6,372.2
"7",2016-08-12 09:24:45,20.611,62.81,783.79,25.6,373.6
"8",2016-08-12 09:24:46,20.611,62.81,783.31,25.6,372
"9",2016-08-12 09:24:47,20.611,62.81,784.03,25.6,371.6
"10",2016-08-12 09:24:48,20.611,62.81,784.39,25.6,374.7
"11",2016-08-12 09:24:49,20.611,62.81,784.15,25.5,374.4
"12",2016-08-12 09:24:50,20.611,62.81,784.03,25.6,377.2
"13",2016-08-12 09:24:51,20.611,62.81,783.55,25.5,373.8
"14",2016-08-12 09:24:52,20.611,62.81,784.03,25.5,374.7
"15",2016-08-12 09:24:53,20.611,62.81,782.95,25.5,375.6
"16",2016-08-12 09:24:54,20.611,62.81,783.07,25.5,379.4
"17",2016-08-12 09:24:55,20.611,62.81,784.03,25.5,377.1
"18",2016-08-12 09:24:56,20.611,62.81,783.19,25.5,378.1
"19",2016-08-12 09:24:57,20.611,62.81,785.11,25.5,380.5
"20",2016-08-12 09:24:58,20.611,62.81,784.03,25.5,379.2
"21",2016-08-12 09:24:59,20.611,62.81,784.03,25.4,379.7
"22",2016-08-12 09:25:00,20.611,62.81,784.75,25.4,378.3
"23",2016-08-12 09:25:01,20.611,62.81,785.94,25.4,380.3
"24",2016-08-12 09:25:02,20.611,62.81,785.34,25.4,378.1
"25",2016-08-12 09:25:03,20.611,62.81,785.7,25.4,381.4
"26",2016-08-12 09:25:04,20.611,62.81,785.46,25.4,379.3
"27",2016-08-12 09:25:05,20.611,62.81,786.18,25.4,382.2
"28",2016-08-12 09:25:06,20.611,62.81,784.99,25.4,382.3
"29",2016-08-12 09:25:07,20.611,62.81,784.87,25.4,381
"30",2016-08-12 09:25:08,20.611,62.81,785.7,25.4,382.9
"31",2016-08-12 09:25:09,20.611,62.81,785.22,25.3,383
"32",2016-08-12 09:25:10,20.611,62.81,785.46,25.3,381.7
"33",2016-08-12 09:25:11,20.611,62.81,786.66,25.4,384
"34",2016-08-12 09:25:12,20.611,62.81,786.78,25.4,382.8
"35",2016-08-12 09:25:13,20.611,62.81,788.45,25.3,384
"36",2016-08-12 09:25:14,20.611,62.81,788.21,25.3,383.3
"37",2016-08-12 09:25:15,20.611,62.81,789.77,25.3,387.2
"38",2016-08-12 09:25:16,20.611,62.81,789.53,25.3,382.3
"39",2016-08-12 09:25:17,20.611,62.81,789.05,25.3,385.6
"40",2016-08-12 09:25:18,20.611,62.81,789.29,25.4,384.7
"41",2016-08-12 09:25:19,20.611,62.81,789.53,25.3,384.2
"42",2016-08-12 09:25:20,20.611,62.81,790.13,25.4,387.9
"43",2016-08-12 09:25:21,20.611,62.81,789.41,25.4,386.8
"44",2016-08-12 09:25:22,20.611,62.81,788.69,25.4,386
"45",2016-08-12 09:25:23,20.611,62.81,789.41,25.4,388.5
"46",2016-08-12 09:25:24,20.611,62.81,790.13,25.3,384.3
"47",2016-08-12 09:25:25,20.611,62.81,790.25,25.4,389
"48",2016-08-12 09:25:26,20.611,62.81,790.6,25.4,388.1
"49",2016-08-12 09:25:27,20.611,62.81,790.6,25.4,387.9
"50",2016-08-12 09:25:28,20.611,62.81,790.6,25.3,388.6
"51",2016-08-12 09:25:29,20.611,62.81,791.56,25.4,387.6
"52",2016-08-12 09:25:30,20.611,62.81,791.44,25.4,387.6
"53",2016-08-12 09:25:31,20.611,62.81,792.04,25.3,386.8
"54",2016-08-12 09:25:32,20.611,62.81,792.64,25.3,389
"55",2016-08-12 09:25:33,20.611,62.81,791.8,25.3,386.8
"56",2016-08-12 09:25:34,20.611,62.81,793.11,25.4,389.8
"57",2016-08-12 09:25:35,20.611,62.81,793.47,25.4,388.6
"58",2016-08-12 09:25:36,20.611,62.81,793.47,25.4,386.5
"59",2016-08-12 09:25:37,20.611,62.81,794.43,25.4,388.7
"60",2016-08-12 09:25:38,20.611,62.81,793.83,25.4,389
"61",2016-08-12 09:25:39,20.611,62.81,794.67,25.5,387.5
"62",2016-08-12 09:25:40,20.611,62.81,795.03,25.5,388.6
"63",2016-08-12 09:25:41,20.611,62.81,795.27,25.4,389.4
"64",2016-08-12 09:25:42,20.611,62.81,795.15,25.5,389.3
"65",2016-08-12 09:25:43,20.611,62.81,795.98,25.5,389.9
"66",2016-08-12 09:25:44,20.611,62.81,796.1,25.5,389.6
"67",2016-08-12 09:25:45,20.611,62.81,795.98,25.4,389.7
"68",2016-08-12 09:25:46,20.611,62.81,796.46,25.4,388
"69",2016-08-12 09:25:47,20.611,62.81,798.13,25.4,389.1
"70",2016-08-12 09:25:48,20.611,62.81,797.78,25.4,390
"71",2016-08-12 09:25:49,20.611,62.81,798.13,25.4,390.4
"72",2016-08-12 09:25:50,20.611,62.81,798.73,25.3,388.7
"73",2016-08-12 09:25:51,20.611,62.81,798.85,25.3,390.4
"74",2016-08-12 09:25:52,20.611,62.81,799.57,25.4,389.4
"75",2016-08-12 09:25:53,20.611,62.81,800.41,25.4,392.4
"76",2016-08-12 09:25:54,20.611,62.81,801,25.3,387.8
"77",2016-08-12 09:25:55,20.611,62.81,801.72,25.4,389.7
"78",2016-08-12 09:25:56,20.611,62.81,801.6,25.4,389.4
"79",2016-08-12 09:25:57,20.611,62.81,802.68,25.4,392.1
"80",2016-08-12 09:25:58,20.611,62.81,803.51,25.3,386.1
"81",2016-08-12 09:25:59,20.611,62.81,804.35,25.4,389
"82",2016-08-12 09:26:00,20.611,62.81,804.95,25.4,390
"83",2016-08-12 09:26:01,20.611,62.81,806.26,25.4,390.4
"84",2016-08-12 09:26:02,20.611,62.81,806.26,25.4,390.5
"85",2016-08-12 09:26:03,20.611,62.81,807.58,25.3,390.2
"86",2016-08-12 09:26:04,20.611,62.81,807.94,25.3,388.8
"87",2016-08-12 09:26:05,20.611,62.81,807.82,25.3,389.3
"88",2016-08-12 09:26:06,20.611,62.81,810.45,25.3,389.1
"89",2016-08-12 09:26:07,20.611,62.81,810.57,25.3,390.5
"90",2016-08-12 09:26:08,20.611,62.81,812.12,25.3,389.5
"91",2016-08-12 09:26:09,20.611,62.81,814.39,25.3,389.3
"92",2016-08-12 09:26:10,20.611,62.81,814.51,25.3,389.2
"93",2016-08-12 09:26:11,20.611,62.81,817.14,25.2,387.9
"94",2016-08-12 09:26:12,20.611,62.81,817.62,25.3,390.7
"95",2016-08-12 09:26:13,20.611,62.81,819.77,25.3,391
"96",2016-08-12 09:26:14,20.611,62.81,820.73,25.4,387.2
"97",2016-08-12 09:26:15,20.611,62.81,821.32,25.3,389.2
"98",2016-08-12 09:26:16,20.611,62.81,823,25.4,390.2
"99",2016-08-12 09:26:17,20.611,62.81,825.03,25.4,389.7
"100",2016-08-12 09:26:18,20.611,62.81,825.99,25.3,387.3
"101",2016-08-12 09:26:19,20.611,62.81,826.82,25.4,391.4
"102",2016-08-12 09:26:20,20.611,62.81,829.45,25.3,388.1
"103",2016-08-12 09:26:21,20.611,62.81,831.72,25.4,390.1
"104",2016-08-12 09:26:22,20.611,62.81,833.16,25.3,389.2
"105",2016-08-12 09:26:23,20.611,62.81,834,25.4,388.5
"106",2016-08-12 09:26:24,20.611,62.81,836.98,25.4,390.5
"107",2016-08-12 09:26:25,20.611,62.81,837.7,25.4,390.3
"108",2016-08-12 09:26:26,20.611,62.81,840.09,25.5,388.4
"109",2016-08-12 09:26:27,20.611,62.81,840.21,25.5,392
"110",2016-08-12 09:26:28,20.611,62.81,843.56,25.5,389.3
"111",2016-08-12 09:26:29,20.611,62.81,844.87,25.5,390.2
"112",2016-08-12 09:26:30,20.611,62.81,846.9,25.5,388.5
"113",2016-08-12 09:26:31,20.611,62.81,849.06,25.5,389.4
"114",2016-08-12 09:26:32,20.611,62.81,850.37,25.6,389.8
"115",2016-08-12 09:26:33,20.611,62.81,852.88,25.6,389.2
"116",2016-08-12 09:26:34,20.611,62.81,854.56,25.5,389.4
"117",2016-08-12 09:26:35,20.611,62.81,855.99,25.5,388.2
"118",2016-08-12 09:26:36,20.611,62.81,856.71,25.5,390.8
"119",2016-08-12 09:26:37,20.611,62.81,860.17,25.6,388.5
"120",2016-08-12 09:26:38,20.611,62.81,861.49,25.6,390.1
"121",2016-08-12 09:26:39,20.611,62.81,863.52,25.5,388.3
"122",2016-08-12 09:26:40,20.611,62.81,865.31,25.6,391.9
"123",2016-08-12 09:26:41,20.611,62.81,865.79,25.5,390.3
"124",2016-08-12 09:26:42,20.611,62.81,868.18,25.6,389.7
"125",2016-08-12 09:26:43,20.611,62.81,868.42,25.5,388.4
"126",2016-08-12 09:26:44,20.611,62.81,870.09,25.5,391.5
"127",2016-08-12 09:26:45,20.611,62.81,871.89,25.5,388.4
"128",2016-08-12 09:26:46,20.611,62.81,874.28,25.5,389.7
"129",2016-08-12 09:26:47,20.611,62.81,876.55,25.5,390.9
