"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-12 11:45:33,25.113,62.72,1773.3,27.7,570
"2",2016-08-12 11:45:34,25.113,62.72,1874.67,27.7,575.9
"3",2016-08-12 11:45:35,25.113,62.72,1952.96,27.7,589.2
"4",2016-08-12 11:45:36,25.113,62.72,1781.91,27.7,597.7
"5",2016-08-12 11:45:37,25.113,62.72,1821.71,27.6,601.5
"6",2016-08-12 11:45:38,25.113,62.72,1735.05,27.6,605.4
"7",2016-08-12 11:45:39,25.613,62.78,1676,27.6,616.8
"8",2016-08-12 11:45:40,25.613,62.78,1756.69,27.7,625.5
"9",2016-08-12 11:45:41,25.613,62.78,1814.9,27.7,631.1
"10",2016-08-12 11:45:42,25.613,62.78,1873.47,27.6,635.2
"11",2016-08-12 11:45:43,25.613,62.78,1907.78,27.7,649.2
"12",2016-08-12 11:45:44,25.613,62.78,1793.86,27.7,647.6
"13",2016-08-12 11:45:45,25.613,62.78,1823.63,27.7,656.1
"14",2016-08-12 11:45:46,25.613,62.78,1620.54,27.7,656.7
"15",2016-08-12 11:45:47,25.613,62.78,1609.66,27.7,667.7
"16",2016-08-12 11:45:48,25.613,62.78,1678.27,27.8,672.3
"17",2016-08-12 11:45:49,25.613,62.78,1695.01,27.7,670.5
"18",2016-08-12 11:45:50,25.613,62.78,1763.38,27.6,682.4
"19",2016-08-12 11:45:51,25.613,62.78,1701.1,27.7,685.1
"20",2016-08-12 11:45:52,25.613,62.78,1739.47,27.6,691.8
"21",2016-08-12 11:45:53,25.613,62.78,1704.81,27.7,696.1
"22",2016-08-12 11:45:54,25.613,62.78,1674.45,27.6,697.2
"23",2016-08-12 11:45:55,25.613,62.78,1699.67,27.6,702.6
"24",2016-08-12 11:45:56,25.613,62.78,1766.37,27.6,702.2
"25",2016-08-12 11:45:57,25.613,62.78,1857.57,27.6,716.6
"26",2016-08-12 11:45:58,25.613,62.78,1909.57,27.6,717.7
"27",2016-08-12 11:45:59,25.613,62.78,1988.34,27.5,719.4
"28",2016-08-12 11:46:00,25.613,62.78,1995.28,27.6,727.4
"29",2016-08-12 11:46:01,25.613,62.78,1950.93,27.6,732.5
"30",2016-08-12 11:46:02,25.613,62.78,1942.32,27.7,738.6
"31",2016-08-12 11:46:03,25.613,62.78,1697.28,27.6,735.2
"32",2016-08-12 11:46:04,25.613,62.78,1824.7,27.7,738
"33",2016-08-12 11:46:05,25.613,62.78,1807.37,27.8,747.2
"34",2016-08-12 11:46:06,25.613,62.78,1884.83,27.7,744.2
"35",2016-08-12 11:46:07,25.613,62.78,1940.53,27.7,753.1
"36",2016-08-12 11:46:08,25.613,62.78,1885.54,27.7,753.6
"37",2016-08-12 11:46:09,25.613,62.78,1835.22,27.7,753.6
"38",2016-08-12 11:46:10,25.613,62.78,1824.82,27.7,754.8
"39",2016-08-12 11:46:11,25.613,62.78,1815.14,27.7,756.3
"40",2016-08-12 11:46:12,25.613,62.78,1848.01,27.7,762.3
"41",2016-08-12 11:46:13,25.613,62.78,1889.97,27.6,763.5
"42",2016-08-12 11:46:14,25.613,62.78,1877.18,27.7,772
"43",2016-08-12 11:46:15,25.613,62.78,1855.78,27.6,768.4
"44",2016-08-12 11:46:16,25.613,62.78,1898.81,27.7,768.4
"45",2016-08-12 11:46:17,25.613,62.78,1908.97,27.6,772.2
"46",2016-08-12 11:46:18,25.613,62.78,1914.71,27.6,772.9
"47",2016-08-12 11:46:19,25.613,62.78,1905.87,27.5,778
"48",2016-08-12 11:46:20,25.613,62.78,1913.75,27.6,778
"49",2016-08-12 11:46:21,25.613,62.78,1915.55,27.7,784.5
"50",2016-08-12 11:46:22,25.613,62.78,1910.65,27.5,773.8
"51",2016-08-12 11:46:23,25.613,62.78,1915.31,27.6,778.6
"52",2016-08-12 11:46:24,25.613,62.78,1919.61,27.6,780
"53",2016-08-12 11:46:25,25.613,62.78,1924.75,27.6,782
"54",2016-08-12 11:46:26,25.613,62.78,1922.24,27.6,784
"55",2016-08-12 11:46:27,25.613,62.78,1930.13,27.6,788.5
"56",2016-08-12 11:46:28,25.613,62.77,1923.56,27.7,788.4
"57",2016-08-12 11:46:29,25.613,62.76,1918.06,27.7,793.5
"58",2016-08-12 11:46:30,25.613,62.75,1916.5,27.7,796.9
"59",2016-08-12 11:46:31,25.613,62.75,1921.17,27.8,794.2
"60",2016-08-12 11:46:32,25.613,62.75,1927.98,27.8,798.5
"61",2016-08-12 11:46:33,25.613,62.76,1935.99,27.9,794.2
"62",2016-08-12 11:46:34,25.613,62.76,1939.22,27.8,797
"63",2016-08-12 11:46:35,25.613,62.75,1933.48,27.9,800.7
"64",2016-08-12 11:46:36,25.613,62.75,1938.86,27.9,799.8
"65",2016-08-12 11:46:37,25.613,62.76,1941.73,28,808.6
"66",2016-08-12 11:46:38,25.613,62.76,1946.51,27.9,802.7
"67",2016-08-12 11:46:39,25.613,62.77,1946.75,28,804.2
"68",2016-08-12 11:46:40,25.613,62.78,1950.69,28,804.7
"69",2016-08-12 11:46:41,25.613,62.78,1951.65,28,808.3
"70",2016-08-12 11:46:42,25.613,62.77,1956.43,28,808.3
"71",2016-08-12 11:46:43,25.613,62.76,1958.58,27.9,800.8
"72",2016-08-12 11:46:44,25.613,62.76,1965.15,28.1,811.6
"73",2016-08-12 11:46:45,25.613,62.77,1969.58,28,809.2
"74",2016-08-12 11:46:46,25.613,62.77,1976.99,28.1,814.3
"75",2016-08-12 11:46:47,25.613,62.78,1982.61,28,805
"76",2016-08-12 11:46:48,25.613,62.77,1988.58,28,811.9
"77",2016-08-12 11:46:49,25.613,62.77,1986.79,28,813.6
"78",2016-08-12 11:46:50,25.613,62.77,1996.95,28,811.7
"79",2016-08-12 11:46:51,25.613,62.77,2007.71,28.1,812
"80",2016-08-12 11:46:52,25.613,62.77,2016.44,28.1,809.5
"81",2016-08-12 11:46:53,25.613,62.78,2029.23,28.1,812.1
"82",2016-08-12 11:46:54,25.613,62.78,2049.19,28.1,809.6
"83",2016-08-12 11:46:55,25.613,62.78,2080.03,28,811.4
"84",2016-08-12 11:46:56,25.613,62.78,2050.62,28.1,809.3
"85",2016-08-12 11:46:57,25.613,62.78,1857.45,28.2,816.6
"86",2016-08-12 11:46:58,25.613,62.78,1311.06,28,808.8
"87",2016-08-12 11:46:59,25.613,62.78,1106.89,28,809.2
"88",2016-08-12 11:47:00,25.613,62.78,1087.65,28,804
"89",2016-08-12 11:47:01,25.613,62.78,990.94,28.1,808.5
"90",2016-08-12 11:47:02,25.613,62.79,1034.46,28,808.2
"91",2016-08-12 11:47:03,25.613,62.79,1094.34,28,801
"92",2016-08-12 11:47:04,25.613,62.78,1095.3,28.1,807.4
"93",2016-08-12 11:47:05,25.613,62.77,1007.44,28,807.2
"94",2016-08-12 11:47:06,25.613,62.77,835.43,28.1,800.7
"95",2016-08-12 11:47:07,25.613,62.78,816.54,28,804.7
"96",2016-08-12 11:47:08,25.613,62.78,831.25,28.1,807.5
"97",2016-08-12 11:47:09,25.613,62.78,827.66,28,813.2
"98",2016-08-12 11:47:10,25.613,62.78,830.65,28.1,815.3
"99",2016-08-12 11:47:11,25.613,62.78,889.22,28.1,811
"100",2016-08-12 11:47:12,25.613,62.77,926.52,27.9,808.5
"101",2016-08-12 11:47:13,25.613,62.77,931.18,27.9,811.2
"102",2016-08-12 11:47:14,25.613,62.77,1030.39,28,812.7
"103",2016-08-12 11:47:15,25.613,62.77,1042.23,27.9,816.4
"104",2016-08-12 11:47:16,25.613,62.78,1089.56,27.9,817.5
"105",2016-08-12 11:47:17,25.613,62.78,1118.97,27.9,815
"106",2016-08-12 11:47:18,25.613,62.78,1199.06,27.8,820.9
"107",2016-08-12 11:47:19,25.613,62.78,1187.1,27.9,820.3
"108",2016-08-12 11:47:20,25.613,62.77,1345.96,27.8,817.7
"109",2016-08-12 11:47:21,25.613,62.77,1409.2,27.8,819.5
"110",2016-08-12 11:47:22,25.613,62.77,1298.51,27.7,817.8
"111",2016-08-12 11:47:23,25.613,62.77,1119.68,27.7,820.2
"112",2016-08-12 11:47:24,25.613,62.78,1107.85,27.8,820.9
"113",2016-08-12 11:47:25,25.613,62.79,1071.51,27.7,819.1
