"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-11 17:33:57,22.112,65.68,1195.11,35.724,383.77
"2",2016-08-11 17:33:58,22.112,65.68,1195.11,35.732,384.49
"3",2016-08-11 17:33:59,22.112,65.68,1195.11,35.755,385
"4",2016-08-11 17:34:00,22.112,65.68,1195.11,35.786,385.61
"5",2016-08-11 17:34:01,22.112,65.68,1195.11,35.847,386.35
"6",2016-08-11 17:34:02,22.112,65.68,1195.11,35.899,387.09
"7",2016-08-11 17:34:03,22.112,65.68,1195.11,35.955,387.81
"8",2016-08-11 17:34:04,22.112,65.68,1195.11,36.021,388.47
"9",2016-08-11 17:34:05,22.112,65.68,1195.11,36.079,388.98
"10",2016-08-11 17:34:06,22.112,65.68,1195.11,36.142,389.6
"11",2016-08-11 17:34:07,22.112,65.68,1195.11,36.203,390.17
"12",2016-08-11 17:34:08,22.112,65.68,1195.11,36.262,390.91
"13",2016-08-11 17:34:09,22.112,65.68,1195.11,36.308,391.6
"14",2016-08-11 17:34:10,22.112,65.68,1195.11,36.333,391.94
"15",2016-08-11 17:34:11,22.112,65.68,1195.11,36.372,392.72
"16",2016-08-11 17:34:12,22.112,65.68,1195.11,36.406,393.49
"17",2016-08-11 17:34:13,22.112,65.68,1195.11,36.422,394.11
"18",2016-08-11 17:34:14,22.112,65.68,1195.11,36.433,394.73
"19",2016-08-11 17:34:15,22.112,65.68,1195.11,36.455,395.13
"20",2016-08-11 17:34:16,22.112,65.68,1195.11,36.464,395.62
"21",2016-08-11 17:34:17,22.112,65.68,1195.11,36.483,396.29
"22",2016-08-11 17:34:18,22.112,65.68,1195.11,36.494,396.72
"23",2016-08-11 17:34:19,22.112,65.68,1195.11,36.491,397.1
"24",2016-08-11 17:34:20,22.112,65.68,1195.11,36.475,397.52
"25",2016-08-11 17:34:21,22.112,65.68,1195.11,36.459,397.78
"26",2016-08-11 17:34:22,22.112,65.68,1195.11,36.443,398.17
"27",2016-08-11 17:34:23,22.112,65.68,1195.11,36.421,398.91
"28",2016-08-11 17:34:24,22.112,65.68,1195.11,36.4,399.49
"29",2016-08-11 17:34:25,22.112,65.68,1195.11,36.372,400.07
"30",2016-08-11 17:34:26,22.112,65.68,1195.11,36.33,400.91
"31",2016-08-11 17:34:27,22.112,65.68,1195.11,36.272,401.47
"32",2016-08-11 17:34:28,22.112,65.68,1195.11,36.21,402.14
"33",2016-08-11 17:34:29,22.112,65.68,1195.11,36.139,402.73
"34",2016-08-11 17:34:30,22.112,65.68,1195.11,36.064,403.35
"35",2016-08-11 17:34:31,22.112,65.68,1195.11,35.999,404.11
"36",2016-08-11 17:34:32,22.112,65.68,1195.11,35.972,404.52
"37",2016-08-11 17:34:33,22.112,65.68,1195.11,35.914,405.28
"38",2016-08-11 17:34:34,22.112,65.68,1195.11,35.857,406.09
"39",2016-08-11 17:34:35,22.112,65.68,1195.11,35.81,406.72
"40",2016-08-11 17:34:36,22.112,65.68,1195.11,35.773,407.08
"41",2016-08-11 17:34:37,22.112,65.68,1195.11,35.733,407.78
"42",2016-08-11 17:34:38,22.112,65.68,1195.11,35.714,408.37
"43",2016-08-11 17:34:39,22.112,65.68,1195.11,35.688,408.89
"44",2016-08-11 17:34:40,22.112,65.68,1195.11,35.667,409.82
"45",2016-08-11 17:34:41,22.112,65.68,1195.11,35.657,410.37
"46",2016-08-11 17:34:42,22.112,65.68,1195.11,35.645,410.79
"47",2016-08-11 17:34:43,22.112,65.68,1195.11,35.638,411.51
"48",2016-08-11 17:34:44,22.112,65.68,1195.11,35.624,412.23
"49",2016-08-11 17:34:45,22.112,65.68,1195.11,35.605,413
