"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-11 16:43:31,22.112,65.68,1195.11,34.73,433.83
"2",2016-08-11 16:43:32,22.112,65.68,1195.11,34.706,434.61
"3",2016-08-11 16:43:33,22.112,65.68,1195.11,34.68,435.53
"4",2016-08-11 16:43:34,22.112,65.68,1195.11,34.648,436.74
"5",2016-08-11 16:43:35,22.112,65.68,1195.11,34.61,437.85
"6",2016-08-11 16:43:36,22.112,65.68,1195.11,34.58,439.02
"7",2016-08-11 16:43:37,22.112,65.68,1195.11,34.546,439.96
"8",2016-08-11 16:43:38,22.112,65.68,1195.11,34.517,440.76
"9",2016-08-11 16:43:39,22.112,65.68,1195.11,34.503,441.57
"10",2016-08-11 16:43:40,22.112,65.68,1195.11,34.474,442.14
"11",2016-08-11 16:43:41,22.112,65.68,1195.11,34.445,442.81
"12",2016-08-11 16:43:42,22.112,65.68,1195.11,34.423,443.42
"13",2016-08-11 16:43:43,22.112,65.68,1195.11,34.393,443.83
"14",2016-08-11 16:43:44,22.112,65.68,1195.11,34.364,444.32
"15",2016-08-11 16:43:45,22.112,65.68,1195.11,34.336,445.12
"16",2016-08-11 16:43:46,22.112,65.68,1195.11,34.304,445.8
"17",2016-08-11 16:43:47,22.112,65.68,1195.11,34.274,446.49
"18",2016-08-11 16:43:48,22.112,65.68,1195.11,34.265,446.95
"19",2016-08-11 16:43:49,22.112,65.68,1195.11,34.241,447.94
"20",2016-08-11 16:43:50,22.112,65.68,1195.11,34.215,448.53
"21",2016-08-11 16:43:51,22.112,65.68,1195.11,34.185,449.44
"22",2016-08-11 16:43:52,22.112,65.68,1195.11,34.151,450.24
"23",2016-08-11 16:43:53,22.112,65.68,1195.11,34.119,451.06
"24",2016-08-11 16:43:54,22.112,65.68,1195.11,34.088,451.83
"25",2016-08-11 16:43:55,22.112,65.68,1195.11,34.059,452.43
"26",2016-08-11 16:43:56,22.112,65.68,1195.11,34.03,452.97
"27",2016-08-11 16:43:57,22.112,65.68,1195.11,34,453.58
"28",2016-08-11 16:43:58,22.112,65.68,1195.11,33.973,454.05
"29",2016-08-11 16:43:59,22.112,65.68,1195.11,33.945,454.74
"30",2016-08-11 16:44:00,22.112,65.68,1195.11,33.916,455.59
"31",2016-08-11 16:44:01,22.112,65.68,1195.11,33.886,456.22
"32",2016-08-11 16:44:02,22.112,65.68,1195.11,33.856,456.97
"33",2016-08-11 16:44:03,22.112,65.68,1195.11,33.827,457.66
"34",2016-08-11 16:44:04,22.112,65.68,1195.11,33.802,458.1
"35",2016-08-11 16:44:05,22.112,65.68,1195.11,33.777,458.81
"36",2016-08-11 16:44:06,22.112,65.68,1195.11,33.748,459.75
"37",2016-08-11 16:44:07,22.112,65.68,1195.11,33.715,460.43
"38",2016-08-11 16:44:08,22.112,65.68,1195.11,33.681,461.35
"39",2016-08-11 16:44:09,22.112,65.68,1195.11,33.645,462.06
"40",2016-08-11 16:44:10,22.112,65.68,1195.11,33.624,462.45
"41",2016-08-11 16:44:11,22.112,65.68,1195.11,33.588,463.16
"42",2016-08-11 16:44:12,22.112,65.68,1195.11,33.55,464.04
"43",2016-08-11 16:44:13,22.112,65.68,1195.11,33.521,465.17
"44",2016-08-11 16:44:14,22.112,65.68,1195.11,33.496,466.02
"45",2016-08-11 16:44:15,22.112,65.68,1195.11,33.466,467.16
