",""datetime"",""temp"",""pressure"",""par"",""h2o"",""co2"""
1,2016-08-11 14:26:58,24.113,65.65,0,41.262,428.87
2,2016-08-11 14:26:59,24.113,65.65,0,41.1,430.8
3,2016-08-11 14:27:00,24.113,65.65,0,40.954,432.48
4,2016-08-11 14:27:01,24.113,65.65,0,40.797,434.74
5,2016-08-11 14:27:02,24.113,65.65,0,40.659,436.54
6,2016-08-11 14:27:03,24.113,65.65,0,40.544,438.43
7,2016-08-11 14:27:04,24.113,65.65,0,40.435,440.47
8,2016-08-11 14:27:05,24.113,65.65,0,40.334,442.45
9,2016-08-11 14:27:06,24.113,65.65,0,40.239,444.65
10,2016-08-11 14:27:07,24.113,65.65,0,40.146,446.61
11,2016-08-11 14:27:08,24.113,65.65,0,40.05,448.52
12,2016-08-11 14:27:09,24.113,65.65,0,39.958,449.94
13,2016-08-11 14:27:10,24.113,65.65,0,39.862,451.27
14,2016-08-11 14:27:11,24.113,65.65,0,39.759,452.91
15,2016-08-11 14:27:12,24.113,65.65,0,39.698,453.59
16,2016-08-11 14:27:13,24.113,65.65,0,39.581,455.37
17,2016-08-11 14:27:14,24.113,65.65,0,39.458,457.11
18,2016-08-11 14:27:15,24.113,65.65,0,39.327,458.84
19,2016-08-11 14:27:16,24.113,65.65,0,39.199,460.52
20,2016-08-11 14:27:17,24.113,65.65,0,39.079,462.04
21,2016-08-11 14:27:18,24.113,65.65,0,38.948,463.78
22,2016-08-11 14:27:19,24.113,65.65,0,38.821,465.58
23,2016-08-11 14:27:20,24.113,65.65,0,38.709,467.22
24,2016-08-11 14:27:21,24.113,65.65,0,38.597,469.23
25,2016-08-11 14:27:22,24.113,65.65,0,38.504,470.71
26,2016-08-11 14:27:23,24.113,65.65,0,38.409,472.08
27,2016-08-11 14:27:24,24.113,65.65,0,38.321,473.59
28,2016-08-11 14:27:25,24.113,65.65,0,38.232,474.8
29,2016-08-11 14:27:26,24.113,65.65,0,38.148,476.53
30,2016-08-11 14:27:27,24.113,65.65,0,38.059,478.18
31,2016-08-11 14:27:28,24.113,65.65,0,37.985,480.06
32,2016-08-11 14:27:29,24.113,65.65,0,37.916,481.59
33,2016-08-11 14:27:30,24.113,65.65,0,37.856,483.14
34,2016-08-11 14:27:31,24.113,65.65,0,37.822,484.62
35,2016-08-11 14:27:32,24.113,65.65,0,37.774,485.66
36,2016-08-11 14:27:33,24.113,65.65,0,37.752,487
37,2016-08-11 14:27:34,24.113,65.65,0,37.735,487.49
38,2016-08-11 14:27:35,24.113,65.65,0,37.709,488.8
39,2016-08-11 14:27:36,24.113,65.65,0,37.695,489.94
40,2016-08-11 14:27:37,24.113,65.65,0,37.681,491.29
41,2016-08-11 14:27:38,24.113,65.65,0,37.671,492.5
42,2016-08-11 14:27:39,24.113,65.65,0,37.664,493.21
43,2016-08-11 14:27:40,24.113,65.65,0,37.661,493.94
44,2016-08-11 14:27:41,24.113,65.65,0,37.65,494.02
45,2016-08-11 14:27:42,24.113,65.65,0,37.643,494.61
46,2016-08-11 14:27:43,24.113,65.65,0,37.638,495.27
47,2016-08-11 14:27:44,24.113,65.65,0,37.627,495.94
48,2016-08-11 14:27:45,24.113,65.65,0,37.622,497.12
49,2016-08-11 14:27:46,24.113,65.65,0,37.613,497.72
50,2016-08-11 14:27:47,24.113,65.65,0,37.597,498.54
51,2016-08-11 14:27:48,24.113,65.65,0,37.577,499.59
52,2016-08-11 14:27:49,24.113,65.65,0,37.552,500.58
53,2016-08-11 14:27:50,24.113,65.65,0,37.529,501.44
54,2016-08-11 14:27:51,24.113,65.65,0,37.511,502.12
55,2016-08-11 14:27:52,24.113,65.65,0,37.494,502.61
56,2016-08-11 14:27:53,24.113,65.65,0,37.468,501.63
57,2016-08-11 14:27:54,24.113,65.65,0,37.445,502.12
58,2016-08-11 14:27:55,24.113,65.65,0,37.419,502.14
59,2016-08-11 14:27:56,24.113,65.65,0,37.411,502.11
60,2016-08-11 14:27:57,24.113,65.65,0,37.38,502.89
61,2016-08-11 14:27:58,24.113,65.65,0,37.369,502.73
62,2016-08-11 14:27:59,24.113,65.65,0,37.343,502.16
63,2016-08-11 14:28:00,24.113,65.65,0,37.325,501.74
64,2016-08-11 14:28:01,24.113,65.65,0,37.313,501.16
65,2016-08-11 14:28:02,24.113,65.65,0,37.288,500.71
66,2016-08-11 14:28:03,24.113,65.65,0,37.275,501.02
67,2016-08-11 14:28:04,24.113,65.65,0,37.255,501.58
68,2016-08-11 14:28:05,24.113,65.65,0,37.233,502.09
69,2016-08-11 14:28:06,24.113,65.65,0,37.21,503.07
70,2016-08-11 14:28:07,24.113,65.65,0,37.185,503.48
71,2016-08-11 14:28:08,24.113,65.65,0,37.16,503.93
72,2016-08-11 14:28:09,24.113,65.65,0,37.127,504.93
73,2016-08-11 14:28:10,24.113,65.65,0,37.1,505.91
74,2016-08-11 14:28:11,24.113,65.65,0,37.066,506.95
75,2016-08-11 14:28:12,24.113,65.65,0,37.036,508.01
76,2016-08-11 14:28:13,24.113,65.65,0,37.005,509.12
