"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-12 13:11:34,17.607,62.71,NA,42.016,405.37
"2",2016-08-12 13:11:35,17.607,62.71,NA,41.99,406.78
"3",2016-08-12 13:11:36,17.607,62.71,NA,41.988,408.16
"4",2016-08-12 13:11:37,17.607,62.71,NA,41.985,409.55
"5",2016-08-12 13:11:38,17.607,62.71,NA,41.987,411.23
"6",2016-08-12 13:11:39,17.607,62.71,NA,42.005,412.83
"7",2016-08-12 13:11:40,17.607,62.71,NA,42.007,414.39
"8",2016-08-12 13:11:41,17.607,62.71,NA,41.995,416.18
"9",2016-08-12 13:11:42,17.607,62.71,NA,41.984,417.7
"10",2016-08-12 13:11:43,17.607,62.71,NA,41.971,419.57
"11",2016-08-12 13:11:44,17.607,62.71,NA,41.97,421.23
"12",2016-08-12 13:11:45,17.607,62.71,NA,41.983,422.9
"13",2016-08-12 13:11:46,17.607,62.71,NA,42.002,424.36
"14",2016-08-12 13:11:47,17.607,62.71,NA,42.016,425.48
"15",2016-08-12 13:11:48,17.607,62.71,NA,42.033,426.84
"16",2016-08-12 13:11:49,17.607,62.71,NA,42.061,427.98
"17",2016-08-12 13:11:50,17.607,62.71,NA,42.071,429.16
"18",2016-08-12 13:11:51,17.607,62.71,NA,42.086,430.27
"19",2016-08-12 13:11:52,17.607,62.71,NA,42.099,431.36
"20",2016-08-12 13:11:53,17.607,62.71,NA,42.088,432.75
"21",2016-08-12 13:11:54,17.607,62.71,NA,42.083,434
"22",2016-08-12 13:11:55,17.607,62.71,NA,42.084,435.27
"23",2016-08-12 13:11:56,17.607,62.71,NA,42.079,435.85
"24",2016-08-12 13:11:57,17.607,62.71,NA,42.064,437.03
"25",2016-08-12 13:11:58,17.607,62.71,NA,42.062,438.34
"26",2016-08-12 13:11:59,17.607,62.71,NA,42.051,439.35
"27",2016-08-12 13:12:00,17.607,62.71,NA,42.044,440.64
"28",2016-08-12 13:12:01,17.607,62.71,NA,42.044,441.54
"29",2016-08-12 13:12:02,17.607,62.71,NA,42.035,442.54
"30",2016-08-12 13:12:03,17.607,62.71,NA,42.039,443.76
"31",2016-08-12 13:12:04,17.607,62.71,NA,42.027,444.94
"32",2016-08-12 13:12:05,17.607,62.71,NA,42.018,446.16
"33",2016-08-12 13:12:06,17.607,62.71,NA,42.004,447.26
"34",2016-08-12 13:12:07,17.607,62.71,NA,41.99,448.47
"35",2016-08-12 13:12:08,17.607,62.71,NA,41.989,449.48
"36",2016-08-12 13:12:09,17.607,62.71,NA,41.978,450.46
"37",2016-08-12 13:12:10,17.607,62.71,NA,41.976,451.55
"38",2016-08-12 13:12:11,17.607,62.71,NA,41.974,452.48
"39",2016-08-12 13:12:12,17.607,62.71,NA,41.963,453.64
"40",2016-08-12 13:12:13,17.607,62.71,NA,41.955,455.07
