"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-12 10:13:33,21.612,62.82,1428.44,23.035,457.42
"2",2016-08-12 10:13:34,21.612,62.82,1438.48,23.038,457.58
"3",2016-08-12 10:13:35,21.612,62.82,1425.22,23.037,457.97
"4",2016-08-12 10:13:36,21.612,62.82,1424.62,23.04,458.34
"5",2016-08-12 10:13:37,21.612,62.82,1408.6,23.047,458.56
"6",2016-08-12 10:13:38,21.612,62.82,1425.81,23.052,458.97
"7",2016-08-12 10:13:39,21.612,62.82,1430.36,23.054,459.2
"8",2016-08-12 10:13:40,21.612,62.82,1454.98,23.05,459.58
"9",2016-08-12 10:13:41,21.612,62.82,1460.48,23.049,459.77
"10",2016-08-12 10:13:42,21.612,62.82,1462.63,23.051,460.09
"11",2016-08-12 10:13:43,21.612,62.81,1459.76,23.048,460.41
"12",2016-08-12 10:13:44,21.612,62.81,1452.95,23.048,460.71
"13",2016-08-12 10:13:45,21.612,62.81,1448.64,23.044,461.18
"14",2016-08-12 10:13:46,21.612,62.82,1444.34,23.035,461.24
"15",2016-08-12 10:13:47,21.612,62.82,1442.19,23.038,461.41
"16",2016-08-12 10:13:48,21.612,62.82,1451.15,23.042,461.86
"17",2016-08-12 10:13:49,21.612,62.83,1451.03,23.041,462.29
"18",2016-08-12 10:13:50,21.612,62.83,1455.7,23.042,463.07
"19",2016-08-12 10:13:51,21.612,62.82,1449.36,23.041,463.6
"20",2016-08-12 10:13:52,21.612,62.81,1441.83,23.033,463.92
"21",2016-08-12 10:13:53,21.612,62.81,1434.78,23.029,463.99
"22",2016-08-12 10:13:54,21.612,62.82,1447.45,23.014,464.07
"23",2016-08-12 10:13:55,21.612,62.82,1409.44,23.001,464.49
"24",2016-08-12 10:13:56,21.612,62.82,1434.3,22.993,464.76
"25",2016-08-12 10:13:57,21.612,62.82,1434.3,22.969,465.09
"26",2016-08-12 10:13:58,21.612,62.82,1434.3,22.951,465.73
"27",2016-08-12 10:13:59,21.612,62.82,1434.3,22.932,466.25
"28",2016-08-12 10:14:00,21.612,62.82,1434.3,22.919,466.54
"29",2016-08-12 10:14:01,21.612,62.82,1434.3,22.921,466.91
"30",2016-08-12 10:14:02,21.612,62.82,1434.3,22.917,467.13
"31",2016-08-12 10:14:03,21.612,62.82,1434.3,22.908,467.33
"32",2016-08-12 10:14:04,21.612,62.82,1434.3,22.909,467.42
"33",2016-08-12 10:14:05,21.612,62.82,1434.3,22.899,467.99
"34",2016-08-12 10:14:06,21.612,62.82,1434.3,22.894,468.27
"35",2016-08-12 10:14:07,21.612,62.82,1434.3,22.893,468.5
"36",2016-08-12 10:14:08,21.612,62.82,1434.3,22.893,468.71
"37",2016-08-12 10:14:09,21.612,62.82,1434.3,22.894,468.69
