"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-12 13:36:19,17.607,62.71,NA,27.802,428.18
"2",2016-08-12 13:36:20,17.607,62.71,NA,27.791,428.31
"3",2016-08-12 13:36:21,17.607,62.71,NA,27.786,428.75
"4",2016-08-12 13:36:22,17.607,62.71,NA,27.783,428.96
"5",2016-08-12 13:36:23,17.607,62.71,NA,27.77,429.3
"6",2016-08-12 13:36:24,17.607,62.71,NA,27.762,429.88
"7",2016-08-12 13:36:25,17.607,62.71,NA,27.763,430.1
"8",2016-08-12 13:36:26,17.607,62.71,NA,27.758,430.32
"9",2016-08-12 13:36:27,17.607,62.71,NA,27.76,430.36
"10",2016-08-12 13:36:28,17.607,62.71,NA,27.765,430.29
"11",2016-08-12 13:36:29,17.607,62.71,NA,27.759,430.44
"12",2016-08-12 13:36:30,17.607,62.71,NA,27.756,430.41
"13",2016-08-12 13:36:31,17.607,62.71,NA,27.751,430.76
"14",2016-08-12 13:36:32,17.607,62.71,NA,27.746,430.79
"15",2016-08-12 13:36:33,17.607,62.71,NA,27.753,431.05
"16",2016-08-12 13:36:34,17.607,62.71,NA,27.741,431.32
"17",2016-08-12 13:36:35,17.607,62.71,NA,27.731,431.09
"18",2016-08-12 13:36:36,17.607,62.71,NA,27.728,431.32
"19",2016-08-12 13:36:37,17.607,62.71,NA,27.719,431.14
"20",2016-08-12 13:36:38,17.607,62.71,NA,27.714,431.12
"21",2016-08-12 13:36:39,17.607,62.71,NA,27.717,431.19
"22",2016-08-12 13:36:40,17.607,62.71,NA,27.718,431.46
"23",2016-08-12 13:36:41,17.607,62.71,NA,27.719,431.46
"24",2016-08-12 13:36:42,17.607,62.71,NA,27.717,431.56
"25",2016-08-12 13:36:43,17.607,62.71,NA,27.718,431.67
"26",2016-08-12 13:36:44,17.607,62.71,NA,27.716,431.83
"27",2016-08-12 13:36:45,17.607,62.71,NA,27.715,431.96
"28",2016-08-12 13:36:46,17.607,62.71,NA,27.716,432.29
"29",2016-08-12 13:36:47,17.607,62.71,NA,27.704,432.41
"30",2016-08-12 13:36:48,17.607,62.71,NA,27.694,432.53
"31",2016-08-12 13:36:49,17.607,62.71,NA,27.682,432.8
"32",2016-08-12 13:36:50,17.607,62.71,NA,27.666,432.68
"33",2016-08-12 13:36:51,17.607,62.71,NA,27.667,432.85
"34",2016-08-12 13:36:52,17.607,62.71,NA,27.657,433
"35",2016-08-12 13:36:53,17.607,62.71,NA,27.655,433.1
"36",2016-08-12 13:36:54,17.607,62.71,NA,27.652,433.42
"37",2016-08-12 13:36:55,17.607,62.71,NA,27.635,433.69
"38",2016-08-12 13:36:56,17.607,62.71,NA,27.626,433.73
"39",2016-08-12 13:36:57,17.607,62.71,NA,27.612,434.11
"40",2016-08-12 13:36:58,17.607,62.71,NA,27.608,434.45
"41",2016-08-12 13:36:59,17.607,62.71,NA,27.608,434.47
"42",2016-08-12 13:37:00,17.607,62.71,NA,27.61,434.83
"43",2016-08-12 13:37:01,17.607,62.71,NA,27.605,434.75
"44",2016-08-12 13:37:02,17.607,62.71,NA,27.594,434.75
"45",2016-08-12 13:37:03,17.607,62.71,NA,27.571,435.09
"46",2016-08-12 13:37:04,17.607,62.71,NA,27.554,435.29
"47",2016-08-12 13:37:05,17.607,62.71,NA,27.542,435.55
"48",2016-08-12 13:37:06,17.607,62.71,NA,27.529,436.24
"49",2016-08-12 13:37:07,17.607,62.71,NA,27.53,436.54
"50",2016-08-12 13:37:08,17.607,62.71,NA,27.518,436.9
"51",2016-08-12 13:37:09,17.607,62.71,NA,27.511,437.4
"52",2016-08-12 13:37:10,17.607,62.71,NA,27.504,437.16
"53",2016-08-12 13:37:11,17.607,62.71,NA,27.495,437.02
"54",2016-08-12 13:37:12,17.607,62.71,NA,27.49,436.85
"55",2016-08-12 13:37:13,17.607,62.71,NA,27.479,437
"56",2016-08-12 13:37:14,17.607,62.71,NA,27.472,437.36
"57",2016-08-12 13:37:15,17.607,62.71,NA,27.458,437.67
"58",2016-08-12 13:37:16,17.607,62.71,NA,27.445,438.16
"59",2016-08-12 13:37:17,17.607,62.71,NA,27.432,438.36
"60",2016-08-12 13:37:18,17.607,62.71,NA,27.412,438.42
"61",2016-08-12 13:37:19,17.607,62.71,NA,27.399,438.8
"62",2016-08-12 13:37:20,17.607,62.71,NA,27.39,438.76
"63",2016-08-12 13:37:21,17.607,62.71,NA,27.382,438.95
"64",2016-08-12 13:37:22,17.607,62.71,NA,27.371,439.34
"65",2016-08-12 13:37:23,17.607,62.71,NA,27.365,439.67
"66",2016-08-12 13:37:24,17.607,62.71,NA,27.35,439.81
"67",2016-08-12 13:37:25,17.607,62.71,NA,27.335,440.11
"68",2016-08-12 13:37:26,17.607,62.71,NA,27.321,440.12
"69",2016-08-12 13:37:27,17.607,62.71,NA,27.306,440.13
"70",2016-08-12 13:37:28,17.607,62.71,NA,27.291,440.29
"71",2016-08-12 13:37:29,17.607,62.71,NA,27.281,440.42
"72",2016-08-12 13:37:30,17.607,62.71,NA,27.275,440.83
