"","datetime","temp","pressure","par","h2o","co2"
"1",2016-08-12 10:30:10,20.611,62.8,3.83,23.288,417.39
"2",2016-08-12 10:30:11,20.611,62.8,3.59,23.294,417.27
"3",2016-08-12 10:30:12,20.611,62.8,3.83,23.29,417.29
"4",2016-08-12 10:30:13,20.611,62.8,3.35,23.297,417.22
"5",2016-08-12 10:30:14,20.611,62.8,4.06,23.296,417.35
"6",2016-08-12 10:30:15,20.611,62.79,3.59,23.297,417.4
"7",2016-08-12 10:30:16,20.611,62.79,3.71,23.296,417.37
"8",2016-08-12 10:30:17,20.611,62.79,3.71,23.291,417.19
"9",2016-08-12 10:30:18,20.611,62.79,3.71,23.292,417.12
"10",2016-08-12 10:30:19,20.611,62.79,3.59,23.286,417.07
"11",2016-08-12 10:30:20,20.611,62.8,3.59,23.282,416.91
"12",2016-08-12 10:30:21,20.611,62.8,3.94,23.284,416.67
"13",2016-08-12 10:30:22,20.611,62.79,3.83,23.272,418.52
"14",2016-08-12 10:30:23,20.611,62.79,4.06,23.268,419.66
"15",2016-08-12 10:30:24,20.611,62.79,3.83,23.264,420.78
"16",2016-08-12 10:30:25,20.611,62.79,3.83,23.257,421.93
"17",2016-08-12 10:30:26,20.611,62.8,3.94,23.26,420.99
"18",2016-08-12 10:30:27,20.611,62.8,4.3,23.259,420.74
"19",2016-08-12 10:30:28,20.611,62.8,4.3,23.256,420.84
"20",2016-08-12 10:30:29,20.611,62.79,3.83,23.26,420.84
"21",2016-08-12 10:30:30,20.611,62.79,4.42,23.26,420.89
"22",2016-08-12 10:30:31,20.611,62.79,4.54,23.259,421.21
"23",2016-08-12 10:30:32,20.611,62.8,4.66,23.264,421.16
"24",2016-08-12 10:30:33,20.611,62.8,4.3,23.267,421.6
"25",2016-08-12 10:30:34,20.111,62.8,3.94,23.266,422
"26",2016-08-12 10:30:35,20.111,62.8,3.94,23.268,422.27
"27",2016-08-12 10:30:36,20.111,62.8,4.42,23.27,422.18
"28",2016-08-12 10:30:37,20.111,62.79,4.54,23.261,422.29
"29",2016-08-12 10:30:38,20.111,62.79,3.94,23.258,422.29
"30",2016-08-12 10:30:39,20.111,62.79,4.3,23.258,422.21
"31",2016-08-12 10:30:40,20.111,62.8,4.66,23.255,422.54
"32",2016-08-12 10:30:41,20.111,62.8,4.06,23.256,422.84
"33",2016-08-12 10:30:42,20.111,62.8,4.54,23.257,423.02
